standard_name,short_name,unit
Water_Temperature_celsius,temp,degC
Ice_Thickness_meter,ice_height,m
Flow_metersCubedPerSecond,flow,meterCubedPerSecond
Salinity_practicalSalinityUnits,salt,PSU
Density_kiloGramPerCubedMeter,dens,kiloGramPerCubedMeter
Water_Level_meter,w_level,m
Sensible_Heat_Flux_wattPerSquareMeter,q_sens,wattPerMeterSquared
Latent_Heat_Flux_wattPerSquareMeter,q_lat,wattPerMeterSquared
