"",46.800
228.0000,-3.8710E+002
229.0000,-3.8606E+002
230.0000,-3.8515E+002
231.0000,-3.8508E+002
232.0000,-3.8445E+002
233.0000,-3.8419E+002
234.0000,-3.8390E+002
235.0000,-3.8210E+002
236.0000,-3.8070E+002
237.0000,-3.8077E+002
238.0000,-3.8126E+002
239.0000,-3.8124E+002
240.0000,-3.8084E+002
241.0000,-3.8103E+002
242.0000,-3.8173E+002
243.0000,-3.8228E+002
244.0000,-3.8321E+002
245.0000,-3.8400E+002
246.0000,-3.8490E+002
247.0000,-3.8513E+002
248.0000,-3.8502E+002
249.0000,-3.8441E+002
250.0000,-3.7640E+002
251.0000,-3.6316E+002
252.0000,-3.7386E+002
253.0000,-3.7294E+002
254.0000,-3.7437E+002
255.0000,-3.7414E+002
256.0000,-3.7207E+002
257.0000,-3.7000E+002
258.0000,-3.6921E+002
259.0000,-3.6905E+002
260.0000,-3.6862E+002
261.0000,-3.6774E+002
262.0000,-3.6739E+002
263.0000,-3.6761E+002
264.0000,-3.6799E+002
265.0000,-3.6722E+002
266.0000,-3.6593E+002
267.0000,-3.6543E+002
268.0000,-3.6536E+002
269.0000,-3.6526E+002
270.0000,-3.6518E+002
271.0000,-3.6520E+002
272.0000,-3.6512E+002
273.0000,-3.6483E+002
274.0000,-3.6416E+002
275.0000,-3.6364E+002
276.0000,-3.6316E+002
277.0000,-3.6256E+002
278.0000,-3.6227E+002
279.0000,-3.6207E+002
280.0000,-3.6244E+002
281.0000,-3.6312E+002
282.0000,-3.6349E+002
283.0000,-3.6363E+002
284.0000,-3.6343E+002
285.0000,-3.6322E+002
286.0000,-3.6305E+002
287.0000,-3.6297E+002
288.0000,-3.6283E+002
289.0000,-3.6255E+002
290.0000,-3.6225E+002
291.0000,-3.6181E+002
292.0000,-3.6123E+002
293.0000,-3.6078E+002
294.0000,-3.6031E+002
295.0000,-3.5962E+002
296.0000,-3.5890E+002
297.0000,-3.5815E+002
298.0000,-3.5811E+002
299.0000,-3.5671E+002
300.0000,-3.5615E+002
301.0000,-3.5587E+002
302.0000,-3.5530E+002
303.0000,-3.5467E+002
304.0000,-3.5421E+002
305.0000,-3.5339E+002
306.0000,-3.5272E+002
307.0000,-3.5261E+002
308.0000,-3.5151E+002
309.0000,-3.4332E+002
310.0000,-3.4893E+002
311.0000,-3.4735E+002
312.0000,-3.4878E+002
313.0000,-3.4803E+002
314.0000,-3.4757E+002
315.0000,-3.4685E+002
316.0000,-3.4612E+002
317.0000,-3.4553E+002
318.0000,-3.4495E+002
319.0000,-3.4449E+002
320.0000,-3.4414E+002
321.0000,-3.4380E+002
322.0000,-3.4314E+002
323.0000,-3.4264E+002
324.0000,-3.4222E+002
325.0000,-3.4165E+002
326.0000,-3.4113E+002
327.0000,-3.4059E+002
328.0000,-3.3995E+002
329.0000,-3.3931E+002
330.0000,-3.3838E+002
331.0000,-3.3738E+002
332.0000,-3.3635E+002
333.0000,-3.3535E+002
334.0000,-3.3456E+002
335.0000,-3.3384E+002
