"",46.800
245.0000,3.3164E+002
246.0000,3.5274E+002
247.0000,3.5359E+002
248.0000,3.5138E+002
249.0000,3.3766E+002
250.0000,3.3707E+002
251.0000,3.4395E+002
252.0000,3.6129E+002
253.0000,3.3907E+002
254.0000,3.3904E+002
255.0000,3.6783E+002
256.0000,3.3584E+002
257.0000,3.2616E+002
258.0000,3.1803E+002
259.0000,3.0674E+002
260.0000,3.3701E+002
261.0000,3.4254E+002
262.0000,3.3754E+002
263.0000,3.5467E+002
264.0000,3.5151E+002
265.0000,3.3772E+002
266.0000,3.1849E+002
267.0000,2.9834E+002
268.0000,3.0837E+002
269.0000,3.1925E+002
270.0000,3.2665E+002
271.0000,3.0536E+002
272.0000,3.3213E+002
273.0000,3.1782E+002
274.0000,3.1073E+002
275.0000,3.0920E+002
276.0000,3.1919E+002
277.0000,3.0538E+002
278.0000,3.0041E+002
279.0000,3.1502E+002
280.0000,3.3783E+002
281.0000,3.3519E+002
282.0000,3.4145E+002
283.0000,2.9223E+002
284.0000,3.0250E+002
285.0000,3.1742E+002
286.0000,3.2725E+002
287.0000,3.2364E+002
288.0000,3.0110E+002
289.0000,3.1221E+002
290.0000,3.2558E+002
291.0000,3.1530E+002
292.0000,2.9840E+002
293.0000,3.0358E+002
294.0000,3.1065E+002
295.0000,2.9408E+002
296.0000,2.5851E+002
297.0000,2.9994E+002
298.0000,3.5327E+002
299.0000,2.9754E+002
300.0000,3.2332E+002
301.0000,3.0838E+002
302.0000,2.8685E+002
303.0000,2.9284E+002
304.0000,3.1880E+002
305.0000,3.1916E+002
306.0000,3.3045E+002
307.0000,3.4760E+002
308.0000,3.0991E+002
309.0000,2.8733E+002
310.0000,2.9306E+002
311.0000,2.9832E+002
312.0000,2.8845E+002
313.0000,2.8628E+002
314.0000,3.0298E+002
315.0000,2.9148E+002
316.0000,2.8709E+002
317.0000,2.7213E+002
318.0000,2.7366E+002
319.0000,3.0489E+002
320.0000,3.0039E+002
321.0000,3.0909E+002
322.0000,2.8891E+002
323.0000,3.0034E+002
324.0000,2.9122E+002
325.0000,2.6904E+002
326.0000,2.7687E+002
327.0000,2.7502E+002
328.0000,2.6586E+002
329.0000,2.8122E+002
330.0000,2.5107E+002
331.0000,2.4571E+002
332.0000,2.3593E+002
333.0000,2.5504E+002
334.0000,2.4951E+002
335.0000,2.4599E+002
336.0000,2.9433E+002
337.0000,2.8568E+002
338.0000,2.5885E+002
339.0000,2.8388E+002
340.0000,2.6340E+002
341.0000,2.5826E+002
342.0000,3.0207E+002
343.0000,3.1723E+002
344.0000,3.1791E+002
345.0000,3.0167E+002
346.0000,2.8299E+002
347.0000,2.8085E+002
348.0000,3.0632E+002
349.0000,3.0017E+002
350.0000,2.7968E+002
351.0000,2.5848E+002
352.0000,2.6324E+002
353.0000,2.4746E+002
354.0000,2.5385E+002
355.0000,2.3958E+002
356.0000,2.4799E+002
357.0000,2.3458E+002
358.0000,2.6133E+002
359.0000,3.0985E+002
360.0000,3.4415E+002
361.0000,3.2943E+002
362.0000,3.4599E+002
363.0000,3.3353E+002
364.0000,3.2487E+002
365.0000,3.0396E+002
