"",46.800
245.0000,9.4707E+001
246.0000,6.8654E+001
247.0000,5.7698E+001
248.0000,5.5856E+001
249.0000,5.7640E+001
250.0000,6.7276E+001
251.0000,7.2706E+001
252.0000,6.1199E+001
253.0000,6.7329E+001
254.0000,5.8219E+001
255.0000,4.1155E+001
256.0000,6.0264E+001
257.0000,6.1967E+001
258.0000,7.5720E+001
259.0000,8.2641E+001
260.0000,2.1502E+001
261.0000,4.4455E+001
262.0000,6.3546E+001
263.0000,3.5551E+001
264.0000,5.9899E+001
265.0000,4.3631E+001
266.0000,7.2383E+001
267.0000,7.7618E+001
268.0000,7.0428E+001
269.0000,5.7699E+001
270.0000,3.3769E+001
271.0000,6.8075E+001
272.0000,3.2056E+001
273.0000,5.9851E+001
274.0000,3.9325E+001
275.0000,5.9282E+001
276.0000,2.8621E+001
277.0000,5.4774E+001
278.0000,6.0920E+001
279.0000,5.4920E+001
280.0000,4.2998E+001
281.0000,5.0862E+001
282.0000,3.8026E+001
283.0000,6.9769E+001
284.0000,4.9286E+001
285.0000,4.0895E+001
286.0000,3.6239E+001
287.0000,3.2713E+001
288.0000,5.0054E+001
289.0000,3.2330E+001
290.0000,2.2974E+001
291.0000,2.9627E+001
292.0000,3.7027E+001
293.0000,3.4788E+001
294.0000,1.4902E+001
295.0000,3.7604E+001
296.0000,5.1486E+001
297.0000,2.4834E+001
298.0000,1.0270E+001
299.0000,2.8521E+001
300.0000,6.5972E+000
301.0000,1.0773E+001
302.0000,2.6374E+001
303.0000,1.8669E+001
304.0000,4.6033E+000
305.0000,7.5228E+000
306.0000,7.9889E+000
307.0000,5.8913E+000
308.0000,1.0657E+001
309.0000,2.6205E+001
310.0000,2.4636E+001
311.0000,2.2000E+001
312.0000,2.8585E+001
313.0000,2.6512E+001
314.0000,1.9536E+001
315.0000,2.2671E+001
316.0000,2.5130E+001
317.0000,2.6947E+001
318.0000,2.5570E+001
319.0000,1.2662E+001
320.0000,2.4422E+001
321.0000,1.6627E+001
322.0000,2.1689E+001
323.0000,1.3463E+001
324.0000,1.7493E+001
325.0000,2.1478E+001
326.0000,1.9133E+001
327.0000,1.5957E+001
328.0000,2.2293E+001
329.0000,1.8644E+001
330.0000,2.1622E+001
331.0000,2.2160E+001
332.0000,2.2662E+001
333.0000,1.6576E+001
334.0000,1.9101E+001
335.0000,1.8282E+001
336.0000,9.6103E+000
337.0000,8.4450E+000
338.0000,1.5532E+001
339.0000,1.2930E+001
340.0000,1.6274E+001
341.0000,1.6127E+001
342.0000,1.0470E+001
343.0000,1.0550E+001
344.0000,9.5436E+000
345.0000,7.8665E+000
346.0000,1.5365E+001
347.0000,1.4222E+001
348.0000,1.0429E+001
349.0000,9.1459E+000
350.0000,9.9127E+000
351.0000,1.3454E+001
352.0000,1.2178E+001
353.0000,1.5265E+001
354.0000,1.1442E+001
355.0000,1.3573E+001
356.0000,1.3476E+001
357.0000,1.4295E+001
358.0000,1.4627E+001
359.0000,3.1402E+000
360.0000,4.4437E+000
361.0000,1.0501E+001
362.0000,5.0862E+000
363.0000,9.4034E+000
364.0000,8.5779E+000
365.0000,8.2693E+000
