"",-46.500,-46.000,-45.500,-45.000,-44.500,-44.000,-43.500,-43.000,-42.500,-42.000,-41.500,-41.000,-40.500,-40.000,-39.500,-39.000,-38.500,-38.000,-37.500,-37.000,-36.500,-36.000,-35.500,-35.000,-34.500,-34.000,-33.500,-33.000,-32.500,-32.000,-31.500,-31.000,-30.500,-30.000,-29.500,-29.000,-28.500,-28.000,-27.500,-27.000,-26.500,-26.000,-25.500,-25.000,-24.500,-24.000,-23.500,-23.000,-22.500,-22.000,-21.500,-21.000,-20.500,-20.000,-19.500,-19.000,-18.500,-18.000,-17.500,-17.000,-16.500,-16.000,-15.500,-15.000,-14.500,-14.000,-13.500,-13.000,-12.500,-12.000,-11.500,-11.000,-10.500,-10.000,-9.500,-9.000,-8.500,-8.000,-7.500,-7.000,-6.500,-6.000,-5.500,-5.000,-4.500,-4.000,-3.500,-3.000,-2.500,-2.000,-1.500,-1.000,-0.500,0.000
0.0000,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,5.0000E-010,0.0000E+000
1.0000,6.2033E-005,6.2025E-005,6.2009E-005,6.1988E-005,6.1961E-005,6.1930E-005,6.1893E-005,6.1851E-005,6.1801E-005,6.1743E-005,6.1675E-005,6.1590E-005,6.1454E-005,6.1185E-005,6.0740E-005,6.0086E-005,5.9162E-005,5.7954E-005,5.6609E-005,5.5309E-005,5.4182E-005,5.3281E-005,5.2592E-005,5.1970E-005,5.1320E-005,5.0944E-005,5.0762E-005,5.0618E-005,5.0454E-005,5.0260E-005,5.0036E-005,4.9749E-005,4.9353E-005,4.8844E-005,4.8244E-005,4.7577E-005,4.6879E-005,4.6147E-005,4.5135E-005,4.3107E-005,3.9915E-005,3.6095E-005,3.2397E-005,2.9362E-005,2.7179E-005,2.5760E-005,2.4882E-005,2.4306E-005,2.3839E-005,2.3344E-005,2.2745E-005,2.2034E-005,2.1343E-005,2.0893E-005,2.0762E-005,2.0993E-005,2.1612E-005,2.2753E-005,2.4685E-005,2.6049E-005,2.7162E-005,2.8234E-005,2.5550E-005,2.3055E-005,2.1125E-005,1.9035E-005,1.6072E-005,1.4236E-005,1.3432E-005,1.3367E-005,1.3930E-005,1.5276E-005,1.7866E-005,2.2277E-005,2.9004E-005,3.7848E-005,4.2828E-005,4.6266E-005,4.9807E-005,5.3601E-005,5.7777E-005,6.1376E-005,6.9150E-005,7.6851E-005,7.8358E-005,7.6480E-005,7.2663E-005,6.8950E-005,6.5059E-005,5.9476E-005,5.3544E-005,4.8140E-005,4.3952E-005,4.3934E-005
2.0000,3.5203E-005,3.7951E-005,4.1665E-005,4.4633E-005,4.7542E-005,5.0599E-005,5.3818E-005,5.7004E-005,5.9796E-005,6.2005E-005,6.3691E-005,6.4986E-005,6.6014E-005,6.6839E-005,6.7450E-005,6.7806E-005,6.7879E-005,6.7670E-005,6.7211E-005,6.6511E-005,6.5538E-005,6.4376E-005,6.3357E-005,6.2790E-005,6.2746E-005,6.3112E-005,6.3691E-005,6.4388E-005,6.5259E-005,6.6339E-005,6.7526E-005,6.8663E-005,6.9584E-005,7.0180E-005,7.0440E-005,7.0420E-005,7.0245E-005,7.0084E-005,7.0130E-005,7.0461E-005,7.0959E-005,7.1505E-005,7.2099E-005,7.2782E-005,7.3561E-005,7.4394E-005,7.5194E-005,7.5879E-005,7.6418E-005,7.6818E-005,7.7126E-005,7.7392E-005,7.7640E-005,7.7885E-005,7.8141E-005,7.8428E-005,7.8768E-005,7.9202E-005,7.9785E-005,8.0538E-005,8.1395E-005,8.2273E-005,8.3122E-005,8.3917E-005,8.4664E-005,8.5386E-005,8.6110E-005,8.6871E-005,8.7703E-005,8.8642E-005,8.9725E-005,9.0990E-005,9.2465E-005,9.4156E-005,9.6025E-005,9.8019E-005,1.0011E-004,1.0228E-004,1.0458E-004,1.0704E-004,1.0965E-004,1.1236E-004,1.1511E-004,1.1782E-004,1.2044E-004,1.2288E-004,1.2511E-004,1.2707E-004,1.2867E-004,1.2976E-004,1.3010E-004,1.2980E-004,1.2893E-004,1.2892E-004
3.0000,4.0166E-005,4.3580E-005,4.8005E-005,5.1339E-005,5.4621E-005,5.8181E-005,6.2101E-005,6.6147E-005,6.9774E-005,7.2685E-005,7.4963E-005,7.6798E-005,7.8353E-005,7.9697E-005,8.0781E-005,8.1522E-005,8.1863E-005,8.1792E-005,8.1352E-005,8.0545E-005,7.9317E-005,7.7770E-005,7.6371E-005,7.5546E-005,7.5395E-005,7.5772E-005,7.6419E-005,7.7218E-005,7.8277E-005,7.9665E-005,8.1249E-005,8.2804E-005,8.4092E-005,8.4950E-005,8.5356E-005,8.5382E-005,8.5194E-005,8.5023E-005,8.5130E-005,8.5620E-005,8.6313E-005,8.7036E-005,8.7794E-005,8.8649E-005,8.9615E-005,9.0636E-005,9.1592E-005,9.2369E-005,9.2924E-005,9.3270E-005,9.3472E-005,9.3600E-005,9.3686E-005,9.3750E-005,9.3811E-005,9.3894E-005,9.4033E-005,9.4286E-005,9.4741E-005,9.5432E-005,9.6261E-005,9.7108E-005,9.7893E-005,9.8576E-005,9.9158E-005,9.9658E-005,1.0010E-004,1.0053E-004,1.0096E-004,1.0143E-004,1.0197E-004,1.0263E-004,1.0342E-004,1.0435E-004,1.0534E-004,1.0630E-004,1.0718E-004,1.0796E-004,1.0869E-004,1.0942E-004,1.1014E-004,1.1077E-004,1.1122E-004,1.1137E-004,1.1111E-004,1.1031E-004,1.0889E-004,1.0672E-004,1.0360E-004,9.9233E-005,9.3383E-005,8.5746E-005,7.5956E-005,7.5914E-005
4.0000,4.3034E-005,4.6631E-005,5.1317E-005,5.4874E-005,5.8376E-005,6.2169E-005,6.6329E-005,7.0605E-005,7.4437E-005,7.7519E-005,7.9939E-005,8.1891E-005,8.3543E-005,8.4964E-005,8.6107E-005,8.6886E-005,8.7243E-005,8.7167E-005,8.6699E-005,8.5846E-005,8.4554E-005,8.2936E-005,8.1473E-005,8.0608E-005,8.0448E-005,8.0844E-005,8.1530E-005,8.2384E-005,8.3512E-005,8.4981E-005,8.6651E-005,8.8287E-005,8.9643E-005,9.0553E-005,9.0993E-005,9.1040E-005,9.0866E-005,9.0708E-005,9.0840E-005,9.1366E-005,9.2107E-005,9.2885E-005,9.3704E-005,9.4626E-005,9.5662E-005,9.6756E-005,9.7783E-005,9.8627E-005,9.9244E-005,9.9647E-005,9.9903E-005,1.0008E-004,1.0023E-004,1.0035E-004,1.0048E-004,1.0063E-004,1.0086E-004,1.0121E-004,1.0179E-004,1.0261E-004,1.0359E-004,1.0461E-004,1.0557E-004,1.0645E-004,1.0724E-004,1.0797E-004,1.0867E-004,1.0937E-004,1.1011E-004,1.1092E-004,1.1184E-004,1.1291E-004,1.1416E-004,1.1559E-004,1.1713E-004,1.1869E-004,1.2023E-004,1.2172E-004,1.2323E-004,1.2480E-004,1.2642E-004,1.2802E-004,1.2950E-004,1.3076E-004,1.3169E-004,1.3218E-004,1.3214E-004,1.3148E-004,1.3002E-004,1.2751E-004,1.2373E-004,1.1859E-004,1.1208E-004,1.1205E-004
5.0000,6.0073E-005,6.5120E-005,7.1686E-005,7.6660E-005,8.1556E-005,8.6863E-005,9.2691E-005,9.8688E-005,1.0406E-004,1.0839E-004,1.1178E-004,1.1451E-004,1.1683E-004,1.1882E-004,1.2043E-004,1.2153E-004,1.2203E-004,1.2193E-004,1.2128E-004,1.2008E-004,1.1827E-004,1.1599E-004,1.1393E-004,1.1271E-004,1.1249E-004,1.1305E-004,1.1401E-004,1.1521E-004,1.1679E-004,1.1885E-004,1.2120E-004,1.2350E-004,1.2541E-004,1.2669E-004,1.2730E-004,1.2736E-004,1.2711E-004,1.2688E-004,1.2706E-004,1.2780E-004,1.2884E-004,1.2993E-004,1.3108E-004,1.3237E-004,1.3383E-004,1.3536E-004,1.3681E-004,1.3799E-004,1.3885E-004,1.3941E-004,1.3976E-004,1.4001E-004,1.4019E-004,1.4035E-004,1.4051E-004,1.4071E-004,1.4101E-004,1.4148E-004,1.4225E-004,1.4338E-004,1.4472E-004,1.4610E-004,1.4741E-004,1.4858E-004,1.4963E-004,1.5057E-004,1.5146E-004,1.5233E-004,1.5324E-004,1.5423E-004,1.5536E-004,1.5668E-004,1.5823E-004,1.6001E-004,1.6192E-004,1.6383E-004,1.6566E-004,1.6740E-004,1.6911E-004,1.7087E-004,1.7266E-004,1.7437E-004,1.7588E-004,1.7701E-004,1.7760E-004,1.7749E-004,1.7657E-004,1.7465E-004,1.7149E-004,1.6668E-004,1.5988E-004,1.5085E-004,1.3944E-004,1.3939E-004
6.0000,4.7171E-005,5.1205E-005,5.6426E-005,6.0349E-005,6.4207E-005,6.8394E-005,7.3008E-005,7.7775E-005,8.2051E-005,8.5479E-005,8.8160E-005,9.0319E-005,9.2151E-005,9.3735E-005,9.5014E-005,9.5889E-005,9.6292E-005,9.6209E-005,9.5690E-005,9.4739E-005,9.3287E-005,9.1457E-005,8.9802E-005,8.8826E-005,8.8649E-005,8.9095E-005,8.9858E-005,9.0796E-005,9.2042E-005,9.3678E-005,9.5547E-005,9.7385E-005,9.8905E-005,9.9916E-005,1.0039E-004,1.0041E-004,1.0019E-004,9.9974E-005,1.0010E-004,1.0067E-004,1.0149E-004,1.0234E-004,1.0323E-004,1.0423E-004,1.0537E-004,1.0658E-004,1.0770E-004,1.0862E-004,1.0927E-004,1.0967E-004,1.0990E-004,1.1004E-004,1.1013E-004,1.1020E-004,1.1026E-004,1.1035E-004,1.1050E-004,1.1079E-004,1.1131E-004,1.1211E-004,1.1308E-004,1.1407E-004,1.1498E-004,1.1577E-004,1.1643E-004,1.1699E-004,1.1749E-004,1.1795E-004,1.1843E-004,1.1894E-004,1.1954E-004,1.2027E-004,1.2116E-004,1.2220E-004,1.2331E-004,1.2438E-004,1.2535E-004,1.2619E-004,1.2696E-004,1.2773E-004,1.2847E-004,1.2911E-004,1.2953E-004,1.2958E-004,1.2912E-004,1.2802E-004,1.2615E-004,1.2338E-004,1.1945E-004,1.1398E-004,1.0672E-004,9.7256E-005,8.5090E-005,8.5038E-005
7.0000,9.3477E-008,3.7233E-008,3.1882E-010,1.0527E-011,6.7797E-012,7.1619E-012,8.2961E-012,9.7913E-012,1.1076E-011,1.2866E-011,1.4986E-011,1.7194E-011,1.9565E-011,2.2120E-011,2.4864E-011,2.7800E-011,3.0826E-011,3.3879E-011,3.6991E-011,4.0174E-011,4.3385E-011,4.6169E-011,4.7817E-011,4.8854E-011,4.9731E-011,5.1012E-011,5.2902E-011,5.4996E-011,5.6921E-011,5.9423E-011,6.3096E-011,6.8037E-011,7.4425E-011,8.1711E-011,8.9484E-011,9.7614E-011,1.0571E-010,1.1389E-010,1.2089E-010,1.2846E-010,1.3841E-010,1.4992E-010,1.6175E-010,1.7454E-010,1.8866E-010,2.0461E-010,2.2382E-010,2.4582E-010,2.7069E-010,2.9857E-010,3.2820E-010,3.6063E-010,3.9620E-010,4.3593E-010,4.7908E-010,5.2700E-010,5.7990E-010,6.3974E-010,7.0076E-010,7.6558E-010,8.4268E-010,9.3228E-010,1.0372E-009,1.1583E-009,1.2960E-009,1.4530E-009,1.6304E-009,1.8332E-009,2.0635E-009,2.3296E-009,2.6368E-009,2.9986E-009,3.4141E-009,3.8938E-009,4.9415E-009,4.5854E-008,2.7824E-006,2.1870E-005,2.1656E-005,2.1779E-005,2.0155E-005,1.8311E-005,1.7419E-005,1.7211E-005,1.7653E-005,1.8779E-005,2.0522E-005,2.2702E-005,2.5327E-005,2.8539E-005,3.2666E-005,3.6126E-005,3.9237E-005,3.9250E-005
8.0000,6.1813E-007,3.4624E-007,9.8876E-008,3.7393E-008,2.7980E-008,3.1677E-008,3.7325E-008,4.3204E-008,4.9157E-008,5.5109E-008,6.0898E-008,6.6451E-008,7.1781E-008,7.6915E-008,8.1863E-008,8.6602E-008,9.1110E-008,9.5384E-008,9.9460E-008,1.0346E-007,1.0759E-007,1.1215E-007,1.1771E-007,1.2522E-007,1.3560E-007,1.4961E-007,1.6767E-007,1.8938E-007,2.1315E-007,2.3648E-007,2.5654E-007,2.7105E-007,2.7896E-007,2.8022E-007,2.7547E-007,2.6563E-007,2.5181E-007,2.3528E-007,2.1716E-007,1.9801E-007,1.8219E-007,1.7660E-007,1.8691E-007,2.1596E-007,2.5830E-007,2.9365E-007,3.1223E-007,3.2026E-007,3.3270E-007,3.7012E-007,5.1685E-007,8.1871E-007,1.3047E-006,1.9430E-006,2.5546E-006,3.0749E-006,3.5352E-006,3.9540E-006,4.3545E-006,4.6585E-006,4.8807E-006,5.1133E-006,5.3553E-006,5.6347E-006,5.9482E-006,6.2829E-006,6.6460E-006,7.0204E-006,7.4222E-006,7.8355E-006,8.2803E-006,8.7370E-006,9.2205E-006,9.6753E-006,1.0106E-005,1.0635E-005,1.1245E-005,1.2027E-005,1.2969E-005,1.3944E-005,1.4971E-005,1.6100E-005,1.7324E-005,1.8709E-005,2.0240E-005,2.1970E-005,2.3899E-005,2.5952E-005,2.8183E-005,3.0688E-005,3.3602E-005,3.6170E-005,3.8565E-005,3.8575E-005
