"",46.800
233.0000,-1.0748E+001
234.0000,-2.6630E+001
235.0000,-2.7756E+001
236.0000,-1.0508E+001
237.0000,-9.8124E+000
238.0000,-1.6816E+001
239.0000,-1.6996E+001
240.0000,-1.7579E+001
241.0000,-1.4472E+001
242.0000,-1.2699E+001
243.0000,-4.8010E+000
244.0000,-1.2473E+000
245.0000,-1.2348E+000
246.0000,-2.5419E+000
247.0000,-1.0070E+001
248.0000,-6.9635E+000
249.0000,-1.6669E+001
250.0000,-5.7586E+000
251.0000,1.3085E+001
252.0000,7.7512E+000
253.0000,-5.3494E+000
254.0000,-5.7737E+000
255.0000,9.7737E+000
256.0000,-2.5425E+000
257.0000,-3.2509E+000
258.0000,-6.8141E+000
259.0000,-9.9057E+000
260.0000,-9.3759E+000
261.0000,2.9800E+000
262.0000,8.9372E+000
263.0000,1.4394E+001
264.0000,8.2086E+000
265.0000,-3.7437E+000
266.0000,-8.8892E+000
267.0000,-9.3479E+000
268.0000,-1.0351E+001
269.0000,-4.3231E+000
270.0000,-7.2963E-001
271.0000,-5.0027E+000
272.0000,-6.1439E+000
273.0000,-4.3169E+000
274.0000,-1.1369E+001
275.0000,-5.4831E+000
276.0000,-7.6215E+000
277.0000,-1.2297E+001
278.0000,-7.4393E+000
279.0000,7.7786E+000
280.0000,3.5677E+001
281.0000,3.1223E+001
282.0000,7.0602E+000
283.0000,-4.8998E-002
284.0000,-9.9405E+000
285.0000,-1.1214E+001
286.0000,-1.0118E+001
287.0000,-5.8452E+000
288.0000,-8.7213E+000
289.0000,-1.2135E+001
290.0000,-1.1427E+001
291.0000,-2.2039E+001
292.0000,-2.3245E+001
293.0000,-1.4316E+001
294.0000,-1.4208E+001
295.0000,-2.1937E+001
296.0000,-2.3438E+001
297.0000,-3.3831E+001
298.0000,1.6390E+001
299.0000,-6.4860E+000
300.0000,4.0215E-001
301.0000,-1.0825E+001
302.0000,-1.1757E+001
303.0000,-1.3389E+001
304.0000,-9.5356E+000
305.0000,3.6542E+000
306.0000,1.7743E+000
307.0000,2.6934E+001
308.0000,-3.4085E+000
309.0000,-9.4266E+000
310.0000,-2.4450E+001
311.0000,-1.0685E+001
312.0000,-2.0097E+001
313.0000,-1.7905E+001
314.0000,-1.2574E+000
315.0000,-1.0511E+001
316.0000,-2.0232E+001
317.0000,-1.5943E+001
