datetime,Ten_Meter_Elevation_Wind_Speed_meterPerSecond,Air_Temperature_celsius,Relative_Humidity_percent,Shortwave_Radiation_Downwelling_wattPerMeterSquared,Longwave_Radiation_Downwelling_wattPerMeterSquared,Sea_Level_Barometric_Pressure_pascal,Surface_Level_Barometric_Pressure_pascal,Precipitation_meterPerSecond,Snowfall_meterPerDay
1979-01-01 00:00:00,2.72043895721436,-4.15222778320299,65.2308654785156,33.6154747009277,228.26921081543,100382.140625,102196.0546875,0,0
1979-01-02 00:00:00,3.56876921653748,-0.270697021483954,66.7707290649414,30.9531536102295,247.15446472168,100594.0859375,102385.8203125,0,0
1979-01-03 00:00:00,6.63169002532959,2.95083007812502,78.0931243896484,14.4548540115356,283.331024169922,99020.609375,100763.4296875,1.25057718832977e-07,0.00568733517138753
1979-01-04 00:00:00,4.381263256073,0.842736816406045,75.7848129272461,19.9377384185791,266.753997802734,99110.1484375,100868.03125,1.88777648872929e-08,0.0129622737877071
1979-01-05 00:00:00,3.49590277671814,-0.480627441406,77.4507904052734,21.2743587493896,265.680145263672,100491.8203125,102283.015625,1.28499414131511e-08,0
1979-01-06 00:00:00,5.47569417953491,6.35933837890605,89.9167404174805,9.48774242401123,309.214782714844,100196.7421875,101938.609375,1.05436112789903e-07,0
1979-01-07 00:00:00,4.93126487731934,6.06646118164105,86.3792114257812,20.7688255310059,290.445465087891,100196.3359375,101940.21875,5.37528394488618e-08,0
1979-01-08 00:00:00,4.983473777771,2.810632324219,84.3328170776367,23.8045177459717,276.934326171875,99882.890625,101641.75,4.71871317131445e-08,0
1979-01-09 00:00:00,5.81114387512207,1.89373168945303,79.8108367919922,28.3375606536865,270.586090087891,98975.3046875,100724.1484375,2.97924387268722e-07,0
1979-01-10 00:00:00,8.04421997070312,1.83587036132803,80.8354797363281,24.5372333526611,267.065734863281,97124.53125,98840.953125,1.29646563436836e-07,0.0405636252835393
1979-01-11 00:00:00,5.66742515563965,2.39077148437502,75.9861755371094,32.9389419555664,258.927917480469,98000.7578125,99729.1171875,1.99223322852049e-08,0
1979-01-12 00:00:00,2.52320075035095,1.65175781250002,69.2849578857422,35.4307441711426,251.293655395508,99096.5,100849,0,0
1979-01-13 00:00:00,4.36918830871582,0.126794433594,82.630859375,23.0119876861572,279.599182128906,99777.328125,101552.53125,1.21271834359504e-07,0
1979-01-14 00:00:00,5.44750452041626,7.64684448242201,93.7779006958008,13.6358623504639,319.27880859375,99672.84375,101397.515625,1.08605025161523e-07,0
1979-01-15 00:00:00,5.29045724868774,7.64815673828105,89.4802703857422,16.6079921722412,310.180206298828,100343.3671875,102079.609375,1.56100904860068e-08,0
1979-01-16 00:00:00,3.72171068191528,5.19634399414105,87.6238403320312,22.4698371887207,288.346069335938,100875.1640625,102636.453125,6.86991334077902e-08,0.0408005858771503
1979-01-17 00:00:00,3.92064738273621,0.441094970703034,75.4059371948242,39.8782196044922,243.522888183594,101012.0078125,102806.3515625,0,0
1979-01-18 00:00:00,7.48443078994751,1.612390136719,77.4310150146484,19.8565063476562,283.373229980469,100058.09375,101827.796875,0,0
1979-01-19 00:00:00,7.11321830749512,0.411614990234,71.6530914306641,31.215648651123,275.845886230469,99068.0859375,100828,3.870587079291e-09,0
1979-01-20 00:00:00,2.97923517227173,1.50066528320303,90.5239028930664,19.5029697418213,282.011138916016,98465.0546875,100207.2890625,1.52514141518623e-07,0.105562845245004
1979-01-21 00:00:00,4.77689647674561,3.346185302734,83.6590042114258,35.7606887817383,265.712738037109,99714.859375,101467.390625,0,0
1979-01-22 00:00:00,5.30220794677734,1.42543945312502,86.0538787841797,13.7269906997681,283.22216796875,99834.3671875,101601.3046875,4.0661539969733e-08,0.0392850036732853
1979-01-23 00:00:00,3.19524168968201,1.37185058593803,83.7357406616211,38.3884620666504,269.177093505859,99836.6015625,101603.984375,1.00493953141267e-08,0.0116131703252904
1979-01-24 00:00:00,3.5840380191803,2.436120605469,81.3424530029297,34.1087799072266,274.218353271484,99444.2421875,101198.0546875,3.24241591442842e-08,0
1979-01-25 00:00:00,4.53796815872192,1.80196533203105,82.6315307617188,42.7220306396484,257.11279296875,98006.5078125,99738.796875,7.55812015995616e-09,0
1979-01-26 00:00:00,4.13690376281738,1.09566650390605,83.1219024658203,36.9754981994629,256.74072265625,97938.875,99674.3984375,2.71666904154699e-08,0
1979-01-27 00:00:00,3.66343426704407,0.231774902344,78.1427764892578,48.234920501709,252.896957397461,98005.4296875,99747.6640625,4.96244683745317e-08,0
1979-01-28 00:00:00,6.61041498184204,2.37087402343803,87.8005981445312,36.166374206543,269.718017578125,96323.1015625,98022.0234375,8.98704820428975e-08,0
1979-01-29 00:00:00,5.86133337020874,2.39644775390605,85.4047698974609,30.3289394378662,264.418670654297,96884.71875,98593.34375,0,0
1979-01-30 00:00:00,4.98828983306885,3.50484619140605,79.1797485351562,41.444766998291,271.146697998047,98986.515625,100725.1875,8.74645866133505e-09,0
1979-01-31 00:00:00,4.60566997528076,4.84053955078105,71.7007064819336,29.5029983520508,289.826721191406,99018.859375,100749.671875,1.16249691927806e-07,0
1979-02-01 00:00:00,6.40798187255859,2.833825683594,85.6234512329102,21.3500194549561,282.737518310547,97322.59375,99036.390625,1.2104745110264e-07,0
1979-02-02 00:00:00,2.855229139328,-0.388494873046966,64.7012023925781,70.7847900390625,236.227386474609,98607.15625,100364.171875,0,0
1979-02-03 00:00:00,3.43928170204163,1.79555664062502,72.2559280395508,54.2736473083496,265.4970703125,98793.4609375,100539.640625,0,0
