time	hurs	huss	pr	prsn	ps	psl	rlds	rsds	sfcWind	tas	tasmax	tasmin	uas	vas
1979-01-01	65.2308654785156	0.00177049986086786	0	0	100382.140625	102196.0546875	228.26921081543	33.6154747009277	2.72043895721436	268.997772216797	272.316192626953	265.248626708984	0.514895558357239	4.00409936904907
1979-01-02	66.7707290649414	0.00251096463762224	0	0	100594.0859375	102385.8203125	247.15446472168	30.9531536102295	3.56876921653748	272.879302978516	276.86962890625	269.139190673828	2.15231919288635	5.34431314468384
1979-01-03	78.0931243896484	0.0037709092721343	0.000125057718832977	3.2912819278863e-06	99020.609375	100763.4296875	283.331024169922	14.4548540115356	6.63169002532959	276.100830078125	278.027709960938	273.296905517578	-4.59097003936768	9.70130157470703
1979-01-04	75.7848129272461	0.00310976780019701	1.88777648872929e-05	7.50131584936753e-06	99110.1484375	100868.03125	266.753997802734	19.9377384185791	4.381263256073	273.992736816406	275.550079345703	272.944458007812	-3.72985672950745	-4.70996952056885
1979-01-05	77.4507904052734	0.00282539334148169	1.28499414131511e-05	0	100491.8203125	102283.015625	265.680145263672	21.2743587493896	3.49590277671814	272.669372558594	276.906890869141	269.781127929688	0.925379157066345	1.3429297208786
1979-01-06	89.9167404174805	0.0054718991741538	0.000105436112789903	0	100196.7421875	101938.609375	309.214782714844	9.48774242401123	5.47569417953491	279.509338378906	281.998229980469	275.602752685547	7.85502624511719	2.84801483154297
1979-01-07	86.3792114257812	0.0052748448215425	5.37528394488618e-05	0	100196.3359375	101940.21875	290.445465087891	20.7688255310059	4.93126487731934	279.216461181641	282.301513671875	272.972991943359	8.29965877532959	0.630381047725677
1979-01-08	84.3328170776367	0.00397041207179427	4.71871317131445e-05	0	99882.890625	101641.75	276.934326171875	23.8045177459717	4.983473777771	275.960632324219	277.950653076172	273.108306884766	8.64293479919434	0.792019486427307
1979-01-09	79.8108367919922	0.00356169673614204	0.000297924387268722	0	98975.3046875	100724.1484375	270.586090087891	28.3375606536865	5.81114387512207	275.043731689453	278.009063720703	273.076232910156	9.13628768920898	1.36195683479309
1979-01-10	80.8354797363281	0.00365969678387046	0.000129646563436836	2.34743201872334e-05	97124.53125	98840.953125	267.065734863281	24.5372333526611	8.04421997070312	274.985870361328	278.091918945312	272.655120849609	9.71077632904053	-6.86530351638794
1979-01-11	75.9861755371094	0.00353278778493404	1.99223322852049e-05	0	98000.7578125	99729.1171875	258.927917480469	32.9389419555664	5.66742515563965	275.540771484375	277.37060546875	274.112030029297	6.26116895675659	-6.77104520797729
1979-01-12	69.2849578857422	0.00301697221584618	0	0	99096.5	100849	251.293655395508	35.4307441711426	2.52320075035095	274.8017578125	277.308868408203	270.811828613281	1.62888097763062	-2.12287664413452
1979-01-13	82.630859375	0.00343684433028102	0.000121271834359504	0	99777.328125	101552.53125	279.599182128906	23.0119876861572	4.36918830871582	273.276794433594	281.413360595703	266.343353271484	-4.43058300018311	6.11634492874146
1979-01-14	93.7779006958008	0.00619500083848834	0.000108605025161523	0	99672.84375	101397.515625	319.27880859375	13.6358623504639	5.44750452041626	280.796844482422	282.156372070312	277.895812988281	1.6019184589386	8.74333953857422
1979-01-15	89.4802703857422	0.00585498381406069	1.56100904860068e-05	0	100343.3671875	102079.609375	310.180206298828	16.6079921722412	5.29045724868774	280.798156738281	282.282775878906	279.76416015625	2.72264456748962	8.29112148284912
1979-01-16	87.6238403320312	0.00502878008410335	6.86991334077902e-05	2.36114501603879e-05	100875.1640625	102636.453125	288.346069335938	22.4698371887207	3.72171068191528	278.346343994141	281.770599365234	271.509033203125	0.0807208046317101	-3.35506963729858
1979-01-17	75.4059371948242	0.00296613643877208	0	0	101012.0078125	102806.3515625	243.522888183594	39.8782196044922	3.92064738273621	273.591094970703	276.80712890625	271.882629394531	-4.48653984069824	-3.35585498809814
1979-01-18	77.4310150146484	0.00332285836338997	0	0	100058.09375	101827.796875	283.373229980469	19.8565063476562	7.48443078994751	274.762390136719	276.723480224609	272.818481445312	-11.0000534057617	-2.89213728904724
1979-01-19	71.6530914306641	0.00284830178134143	3.870587079291e-06	0	99068.0859375	100828	275.845886230469	31.215648651123	7.11321830749512	273.561614990234	274.541015625	272.5859375	-10.0015506744385	-2.12980389595032
