Time [d]	Q_out [m3/s]
0	2
200	-2.8308067	-2.8308067
201	-2.9134219	-2.9134219
202	-2.6007237	-2.6007237
203	-1.3810735	-1.3810735
204	-0.71387273	-0.71387273
205	-0.93799228	-0.93799228
206	-1.2592011	-1.2592011
207	-1.4086709	-1.4086709
208	-1.1974415	-1.1974415
209	-2.6269937	-2.6269937
210	-0.9368807	-0.9368807
211	-2.7721448	-2.7721448
212	-1.9112428	-1.9112428
213	-1.5943362	-1.5943362
214	-1.1305457	-1.1305457
215	-2.1904101	-2.1904101
216	-3.2354975	-3.2354975
217	-1.0018252	-1.0018252
218	-2.4764843	-2.4764843
219	-1.7878053	-1.7878053
220	-1.6057951	-1.6057951
221	-4.0350554	-4.0350554
222	-3.8216838	-3.8216838
223	-0.93728706	-0.93728706
224	-0.72306887	-0.72306887
225	-0.62384131	-0.62384131
226	-0.57115656	-0.57115656
227	-0.5553857	-0.5553857
228	-1.9572235	-1.9572235
229	-2.1349277	-2.1349277
230	-1.0467245	-1.0467245
231	-1.6955042	-1.6955042
232	-3.7104724	-3.7104724
233	-0.90787042	-0.90787042
234	-0.85646444	-0.85646444
235	-3.323555	-3.323555
236	-4.2197475	-4.2197475
237	-1.0004177	-1.0004177
238	-0.64117397	-0.64117397
239	-0.53390357	-0.53390357
240	-0.49491407	-0.49491407
241	-0.58054686	-0.58054686
242	-0.49968332	-0.49968332
243	-0.44593269	-0.44593269
244	-0.4213194	-0.4213194
245	-0.40323806	-0.40323806
246	-0.38630153	-0.38630153
247	-0.38356768	-0.38356768
248	-0.38315026	-0.38315026
249	-2.2498901	-2.2498901
250	-20.189392	-20.189392
251	-19.913391	-19.913391
252	-5.1536887	-5.1536887
253	-5.4918364	-5.4918364
254	-2.2097738	-2.2097738
255	-1.1400506	-1.1400506
256	-11.362871	-11.362871
257	-3.5243238	-3.5243238
258	-2.2268513	-2.2268513
259	-1.1823946	-1.1823946
260	-0.91793108	-0.91793108
261	-8.3541933	-8.3541933
262	-3.9193182	-3.9193182
263	-2.0232128	-2.0232128
264	-2.9231886	-2.9231886
265	-9.7198672	-9.7198672
266	-5.2475285	-5.2475285
267	-1.3209895	-1.3209895
268	-0.74288228	-0.74288228
269	-0.60254697	-0.60254697
270	-0.53352855	-0.53352855
271	-0.83145105	-0.83145105
272	-0.66830154	-0.66830154
273	-0.74227809	-0.74227809
274	-1.5837612	-1.5837612
275	-1.9207243	-1.9207243
276	-1.9375301	-1.9375301
277	-3.0647424	-3.0647424
278	-2.099507	-2.099507
279	-3.429054	-3.429054
280	-0.9676557	-0.9676557
281	-0.66734442	-0.66734442
282	-0.5828626	-0.5828626
283	-0.52738753	-0.52738753
284	-0.4933373	-0.4933373
285	-0.46231941	-0.46231941
286	-0.44304715	-0.44304715
287	-0.43653925	-0.43653925
288	-0.6390503	-0.6390503
289	-0.92744314	-0.92744314
290	-0.74595428	-0.74595428
291	-0.98988113	-0.98988113
292	-1.070377	-1.070377
293	-0.6936581	-0.6936581
294	-0.72155972	-0.72155972
295	-4.1033205	-4.1033205
296	-1.55273	-1.55273
297	-0.80131322	-0.80131322
298	-0.64697735	-0.64697735
299	-14.66175	-14.66175
300	-3.3822023	-3.3822023
301	-2.7328548	-2.7328548
302	-3.0220463	-3.0220463
303	-2.3797711	-2.3797711
304	-1.0619825	-1.0619825
305	-13.686869	-13.686869
306	-5.0923049	-5.0923049
307	-5.4411895	-5.4411895
308	-12.980883	-12.980883
309	-3.3303187	-3.3303187
310	-2.9972682	-2.9972682
311	-8.50538	-8.50538
312	-10.501795	-10.501795
313	-2.5576719	-2.5576719
314	-1.1891525	-1.1891525
315	-8.1345572	-8.1345572
316	-1.7746755	-1.7746755
317	-2.3007967	-2.3007967
318	-1.2874047	-1.2874047
319	-1.3399664	-1.3399664
320	-3.6650053	-3.6650053
321	-4.1054993	-4.1054993
322	-9.9385851	-9.9385851
323	-1.9463721	-1.9463721
324	-0.93952758	-0.93952758
325	-0.72008505	-0.72008505
326	-0.62469864	-0.62469864
327	-0.57101078	-0.57101078
328	-0.67196107	-0.67196107
329	-1.4315923	-1.4315923
330	-2.9752761	-2.9752761
331	-1.5701742	-1.5701742
332	-0.92835218	-0.92835218
333	-0.70932208	-0.70932208
334	-0.61117025	-0.61117025
335	-0.54951814	-0.54951814
336	-0.50861518	-0.50861518
337	-3.4374696	-3.4374696
338	-1.9372643	-1.9372643
339	-0.9644985	-0.9644985
340	-2.3975228	-2.3975228
341	-1.0869206	-1.0869206
342	-0.76277995	-0.76277995
343	-1.4171424	-1.4171424
344	-1.7359677	-1.7359677
345	-0.96603922	-0.96603922
346	-0.72491764	-0.72491764
347	-0.60890017	-0.60890017
348	-0.54157424	-0.54157424
349	-0.53732495	-0.53732495
350	-0.59420555	-0.59420555
351	-0.63001362	-0.63001362
352	-0.60264521	-0.60264521
353	-0.5603778	-0.5603778
354	-0.51399906	-0.51399906
355	-0.5002781	-0.5002781
356	-0.46841791	-0.46841791
357	-0.45999351	-0.45999351
358	-0.44257493	-0.44257493
359	-0.46457717	-0.46457717
360	-4.4483281	-4.4483281
361	-8.9441554	-8.9441554
362	-2.7852927	-2.7852927
363	-6.9782402	-6.9782402
364	-1.5311755	-1.5311755
365	-0.78937267	-0.78937267
366	-0.63200321	-0.63200321
