Depth [m]	U [m/s]	V [m/s]	T [deg C]	k [J/kg]	eps [W/kg]
0	0	0	4.977	3e-06	5e-10
-0.9	0	0	4.977	3e-06	5e-10
-2.5	0	0	4.965	3e-06	5e-10
-5	0	0	4.953	3e-06	5e-10
-8	0	0	4.941	3e-06	5e-10
-11	0	0	4.883	3e-06	5e-10
-14	0	0	4.887	3e-06	5e-10
-16	0	0	4.877	3e-06	5e-10
-18	0	0	4.986	3e-06	5e-10
-20	0	0	4.96	3e-06	5e-10
-22	0	0	4.944	3e-06	5e-10
-27	0	0	4.98	3e-06	5e-10
-32	0	0	4.951	3e-06	5e-10
-42	0	0	4.905	3e-06	5e-10
