2010-01-01 00:00:00	13   2
-0.9	4.977
-2.5	4.965
-5	4.953
-8	4.941
-11	4.883
-14	4.887
-16	4.877
-18	4.986
-20	4.96
-22	4.944
-27	4.98
-32	4.951
-42	4.905
