!datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Surface_Level_Barometric_Pressure_pascal	Air_Temperature_celsius	Relative_Humidity_percent	Cloud_Cover_decimalFraction	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerSecond
1979-02-19 00:00:00	5.7128987	0	101626.57	4.5385071	85.153694	0.75936723	70.918205	2.2882976e-08
1979-02-20 00:00:00	8.5847845	0	101500.09	6.956842	82.824654	0.961482	45.857376	1.1409997e-08
1979-02-21 00:00:00	4.1924014	0	101856.87	5.3425537	86.098999	1	36.659016	1.1684677e-07
1979-02-22 00:00:00	4.3311324	0	102952.83	4.1279236	72.071434	0.67336553	85.562279	2.3288114e-08
1979-02-23 00:00:00	2.0452054	0	103712.75	3.2407776	71.22892	0.59000075	95.946068	0
1979-02-24 00:00:00	5.0445337	0	103700.59	3.4566284	74.054314	0.86644327	64.571434	0
1979-02-25 00:00:00	6.0300889	0	103500.3	5.7058044	71.159645	0.91732815	57.93082	0
1979-02-26 00:00:00	6.9311471	0	102857.1	6.4055725	83.502068	0.89999371	61.077431	1.1361277e-08
1979-02-27 00:00:00	6.839447	0	100971.5	4.8779541	90.564011	1	19.071112	1.7679906e-07
1979-02-28 00:00:00	5.6398163	0	100111.06	0.91918335	79.225945	0.74126868	87.712044	4.0985593e-08
1979-03-01 00:00:00	7.0707216	0	100652.33	4.7412048	77.494492	0.98670899	50.561142	6.209765e-08
1979-03-02 00:00:00	8.8838625	0	100687.75	8.188562	90.50106	1	37.635597	1.0178468e-07
1979-03-03 00:00:00	6.8364091	0	101184.31	5.7080322	74.959633	0.7392568	91.966949	4.7446239e-08
1979-03-04 00:00:00	6.8304515	0	102116.8	4.7283875	60.936386	0.70582239	99.234566	6.9599546e-09
1979-03-05 00:00:00	7.8936872	0	101689.09	5.6136719	75.738655	0.92415607	66.874962	1.5020035e-08
1979-03-06 00:00:00	8.2086582	0	99682.203	4.2293945	81.106407	0.97403074	58.781483	2.0762847e-07
1979-03-07 00:00:00	5.8905425	0	100643.66	3.4840027	69.403961	0.71854177	104.62157	6.6245175e-09
1979-03-08 00:00:00	9.32411	0	100353.5	6.0704895	86.380173	1	21.288383	2.4003652e-07
1979-03-09 00:00:00	9.7715464	0	99739.602	3.2000366	78.582039	0.89131256	78.651497	7.6436612e-08
1979-03-10 00:00:00	5.8493443	0	99851.859	5.6090332	87.706802	1	47.666317	1.7501546e-07
1979-03-11 00:00:00	8.4825401	0	99917.164	6.725061	78.704613	0.7655275	103.17411	6.9355214e-08
1979-03-12 00:00:00	6.7324471	0	100832.36	5.0818726	61.542645	0.78445343	103.26862	0
1979-03-13 00:00:00	4.0967946	0	100997.99	4.0560547	72.665108	0.81503337	99.124466	1.4374027e-08
1979-03-14 00:00:00	5.6915927	0	101452.41	3.455072	68.854866	0.71782046	118.37794	7.9674091e-09
1979-03-15 00:00:00	4.6753139	0	101044.77	1.9633423	73.332687	0.70289362	123.00325	3.5369287e-09
1979-03-16 00:00:00	5.6876163	0	100705.14	1.0803162	67.89003	0.92152219	82.854126	6.0082039e-09
1979-03-17 00:00:00	7.1248741	0	100304.16	0.98824463	66.554077	0.97629168	71.5355	2.7763604e-09
1979-03-18 00:00:00	6.7624063	0	100157.98	0.9117981	68.755707	0.87203434	96.50148	9.2607015e-09
1979-03-19 00:00:00	4.2485924	0	100173.01	2.5570313	69.924164	0.81273794	110.11224	0
1979-03-20 00:00:00	3.8564467	0	99372.359	2.2373901	76.921562	0.88220063	96.551178	6.0617473e-08
1979-03-21 00:00:00	4.0226512	0	99646.57	1.6452271	66.220215	0.66474301	142.21373	6.6848925e-09
1979-03-22 00:00:00	2.9400187	0	100472.45	1.5043884	73.798576	0.72574783	132.72711	2.4738765e-08
1979-03-23 00:00:00	2.5679436	0	101370.34	2.9653259	59.046104	0.6388753	150.9395	0
1979-03-24 00:00:00	6.090003	0	99800.656	5.4368835	87.686203	1	16.731318	2.8212479e-07
1979-03-25 00:00:00	5.6048474	0	98108.234	6.2219788	94.640213	1	59.407158	6.6498673e-08
1979-03-26 00:00:00	7.152812	0	98943.992	4.0821167	80.548347	0.99494996	75.338524	6.0974344e-08
1979-03-27 00:00:00	7.2352514	0	98280.422	3.9517151	81.504562	0.94067632	91.014397	9.9873032e-08
1979-03-28 00:00:00	8.3833227	0	100004.96	3.4892822	75.92205	0.77979353	131.85907	3.5701345e-08
1979-03-29 00:00:00	9.2199135	0	101547.17	3.6737	64.686119	0.69791279	151.77132	1.6476364e-08
1979-03-30 00:00:00	4.7938614	0	102037.4	4.9135071	76.597702	0.98234716	83.10936	1.7440278e-08
1979-03-31 00:00:00	5.9548178	0	101492.95	5.4837891	80.837128	0.90090887	106.2867	2.6193622e-08
1979-04-01 00:00:00	5.5615683	0	100837.12	4.3383728	79.651329	0.86602296	118.55284	3.9583731e-08
1979-04-02 00:00:00	4.3970041	0	100191.61	2.7136169	80.382599	0.74541962	150.35263	4.2154468e-08
1979-04-03 00:00:00	3.5948555	0	100181.33	2.6042114	70.35878	0.67975862	167.63367	7.6877968e-09
1979-04-04 00:00:00	4.0232763	0	100517.41	3.7056213	70.663521	0.71042726	162.62317	0
1979-04-05 00:00:00	4.0577388	0	101111.01	4.3695618	74.513046	0.74666891	155.70763	1.9363495e-08
1979-04-06 00:00:00	2.7805526	0	101305.42	4.5325562	84.628456	0.82742909	136.44937	4.020561e-08
1979-04-07 00:00:00	5.5374913	0	100942.42	4.2402588	82.86158	0.80999296	142.97957	4.4012479e-08
1979-04-08 00:00:00	5.0499802	0	100841.84	3.6944824	86.518997	0.94466645	105.9183	5.1514446e-08
1979-04-09 00:00:00	3.057878	0	100540.17	4.2085205	79.901649	0.73570202	165.71773	1.7145736e-08
1979-04-10 00:00:00	4.5434861	0	99758.148	4.0063721	80.617966	0.99572354	91.963097	4.4811044e-08
1979-04-11 00:00:00	3.5031559	0	99325.328	6.4731995	84.857735	0.89416663	124.41222	6.3846754e-08
1979-04-12 00:00:00	3.9600642	0	98998.672	7.014032	94.410294	1	70.60347	1.0297463e-07
1979-04-13 00:00:00	3.669682	0	100452.91	7.4564148	69.233681	0.74683469	169.7804	1.1871188e-08
1979-04-14 00:00:00	4.6619644	0	101313.66	6.8192993	85.684372	1	72.260948	1.0474336e-07
1979-04-15 00:00:00	2.5137806	0	102548.51	7.6086365	68.934433	0.54660166	219.05821	0
1979-04-16 00:00:00	2.686965	0	102805.98	8.3360535	68.214951	0.6853274	190.44148	0
1979-04-17 00:00:00	2.6689119	0	102837.7	8.3459717	83.272964	0.79024818	162.87509	1.5769683e-09
1979-04-18 00:00:00	3.3331742	0	102807.38	8.4202209	86.668053	0.82050203	155.29892	1.0294654e-08
1979-04-19 00:00:00	5.9553323	0	102159.75	8.0296875	91.848236	1	56.75956	7.6080578e-08
1979-04-20 00:00:00	5.4605112	0	102125.42	7.7327209	73.652939	0.79520188	167.42383	7.5517055e-09
