Time,FLOW,TEMP,SALT
2010-01-01 00:00:00,0.55821182,1.5995833,0
2010-01-02 00:00:00,0.5148414,0.95229167,0
2010-01-03 00:00:00,0.48294747,0.81666667,0
2010-01-04 00:00:00,0.45527275,0.51,0
2010-01-05 00:00:00,1.0511252,1.48625,0
2010-01-06 00:00:00,0.62737686,1.305,0
2010-01-07 00:00:00,0.49439324,1.204375,0
2010-01-08 00:00:00,0.59950575,1.4972917,0
2010-01-09 00:00:00,0.4481324,0.25,0
2010-01-10 00:00:00,0.40086412,0.45666667,0
2010-01-11 00:00:00,0.45747742,1.8054167,0
2010-01-12 00:00:00,0.97025459,1.673125,0
2010-01-13 00:00:00,1.0398895,2.269375,0
2010-01-14 00:00:00,1.1428904,2.613125,0
2010-01-15 00:00:00,5.5443885,4.068125,0
2010-01-16 00:00:00,2.2229579,4.871875,0
2010-01-17 00:00:00,1.9591643,4.845,0
2010-01-18 00:00:00,1.0308515,6.071875,0
2010-01-19 00:00:00,0.75837889,5.1652083,0
2010-01-20 00:00:00,1.0775891,4.7845833,0
2010-01-21 00:00:00,4.0169231,5.5008333,0
2010-01-22 00:00:00,1.512384,5.528125,0
2010-01-23 00:00:00,0.6792817,3.52375,0
2010-01-24 00:00:00,0.53032256,2.9929167,0
2010-01-25 00:00:00,0.52124447,4.2047917,0
2010-01-26 00:00:00,0.45763674,3.896875,0
2010-01-27 00:00:00,1.1938107,5.9864583,0
2010-01-28 00:00:00,2.000286,6.2179167,0
2010-01-29 00:00:00,3.6734917,5.9852083,0
2010-01-30 00:00:00,0.78117734,4.3541667,0
2010-01-31 00:00:00,0.66736499,3.4083333,0
2010-02-01 00:00:00,0.69482395,3.7558333,0
2010-02-02 00:00:00,0.99171996,5.9589583,0
2010-02-03 00:00:00,2.0884932,5.6285417,0
2010-02-04 00:00:00,0.95112493,5.5008333,0
2010-02-05 00:00:00,0.81541938,5.5929167,0
2010-02-06 00:00:00,0.5558571,4.5683333,0
2010-02-07 00:00:00,0.47915644,4.8358333,0
2010-02-08 00:00:00,0.43229951,4.5102128,0
2010-02-09 00:00:00,0.39640542,3.6110417,0
2010-02-10 00:00:00,0.37163482,2.3472917,0
2010-02-11 00:00:00,0.35434069,1.5885417,0
2010-02-12 00:00:00,0.34550453,2.40875,0
2010-02-13 00:00:00,0.3379058,2.318125,0
2010-02-14 00:00:00,0.34844757,2.6397917,0
2010-02-15 00:00:00,0.71134618,4.1929167,0
2010-02-16 00:00:00,1.4747856,3.748125,0
2010-02-17 00:00:00,0.96857936,4.051875,0
2010-02-18 00:00:00,0.57497267,3.0610417,0
2010-02-19 00:00:00,0.61613327,3.1389583,0
2010-02-20 00:00:00,0.56828996,2.47625,0
2010-02-21 00:00:00,0.52633757,3.00875,0
2010-02-22 00:00:00,0.47076725,2.819375,0
2010-02-23 00:00:00,0.41301527,2.6304167,0
2010-02-24 00:00:00,0.39925274,3.243125,0
2010-02-25 00:00:00,0.4709296,3.4333333,0
2010-02-26 00:00:00,1.3898283,4.2204167,0
2010-02-27 00:00:00,1.3267338,4.454375,0
2010-02-28 00:00:00,1.7326602,4.0877083,0
2010-03-01 00:00:00,0.72069334,3.655,0
2010-03-02 00:00:00,0.51115771,3.6710417,0
2010-03-03 00:00:00,0.81187448,4.5497917,0
2010-03-04 00:00:00,0.69140318,4.4166667,0
2010-03-05 00:00:00,0.49337366,3.9025,0
2010-03-06 00:00:00,0.44059719,4.6154167,0
2010-03-07 00:00:00,0.41180061,5.076875,0
2010-03-08 00:00:00,0.37420653,3.674375,0
2010-03-09 00:00:00,0.34884879,3.2879167,0
2010-03-10 00:00:00,0.33566254,3.4883333,0
2010-03-11 00:00:00,0.32716535,3.7079167,0
2010-03-12 00:00:00,0.3465089,6.1222917,0
2010-03-13 00:00:00,0.35193756,6.5991667,0
2010-03-14 00:00:00,0.33405146,6.636875,0
2010-03-15 00:00:00,0.32709633,7.236875,0
2010-03-16 00:00:00,0.31820235,7.101875,0
2010-03-17 00:00:00,0.32837881,9.061875,0
2010-03-18 00:00:00,0.44980803,9.1210417,0
2010-03-19 00:00:00,0.60411942,7.9527083,0
2010-03-20 00:00:00,0.38463418,7.99625,0
2010-03-21 00:00:00,0.3722823,8.4602083,0
2010-03-22 00:00:00,1.2529957,7.4777083,0
2010-03-23 00:00:00,0.8034461,6.8379167,0
2010-03-24 00:00:00,1.5906216,7.72625,0
2010-03-25 00:00:00,0.59134468,7.294375,0
2010-03-26 00:00:00,0.77955795,8.314375,0
2010-03-27 00:00:00,0.5431339,8.4579167,0
2010-03-28 00:00:00,0.42626568,8.1695833,0
2010-03-29 00:00:00,1.2894177,5.90625,0
2010-03-30 00:00:00,3.3365526,5.1089583,0
2010-03-31 00:00:00,1.3171133,4.84,0
2010-04-01 00:00:00,1.1641762,5.92375,0
2010-04-02 00:00:00,0.90856853,5.8970833,0
2010-04-03 00:00:00,1.8352535,6.499375,0
2010-04-04 00:00:00,1.9280068,5.9529167,0
2010-04-05 00:00:00,8.3187299,7.8460417,0
2010-04-06 00:00:00,1.8072893,7.7310417,0
2010-04-07 00:00:00,0.63919154,8.0827083,0
2010-04-08 00:00:00,0.41924151,8.8860417,0
2010-04-09 00:00:00,0.34501733,9.705625,0
2010-04-10 00:00:00,0.30136866,10.227917,0
2010-04-11 00:00:00,0.27603528,10.730417,0
2010-04-12 00:00:00,0.28621359,11.443958,0
2010-04-13 00:00:00,0.29165918,12.421667,0
2010-04-14 00:00:00,0.28278933,11.6875,0
2010-04-15 00:00:00,0.27573609,11.075208,0
