Date,ShortWave,LongWave,AirTemp,RelHum,WindSpeed,Rain,Snow
1979-02-27 00:00:00,19.071112,295.96381,4.8779541,90.564011,6.839447,0.015275439,0
1979-02-28 00:00:00,87.712044,253.18958,0.91918335,79.225945,5.6398163,0.0035411552,0
1979-03-01 00:00:00,50.561142,290.21799,4.7412048,77.494492,7.0707216,0.0053652369,0
1979-03-02 00:00:00,37.635597,322.91086,8.188562,90.50106,8.8838625,0.0087941964,0
1979-03-03 00:00:00,91.966949,279.72049,5.7080322,74.959633,6.8364091,0.0040993551,0
1979-03-04 00:00:00,99.234566,266.70026,4.7283875,60.936386,6.8304515,0.00060134008,0
1979-03-05 00:00:00,66.874962,284.36423,5.6136719,75.738655,7.8936872,0.001297731,0
1979-03-06 00:00:00,58.781483,287.05374,4.2293945,81.106407,8.2086582,0.0179391,0
1979-03-07 00:00:00,104.62157,265.3042,3.4840027,69.403961,5.8905425,0.00057235831,0
1979-03-08 00:00:00,21.288383,305.08087,6.0704895,86.380173,9.32411,0.020739155,0
1979-03-09 00:00:00,78.651497,276.50458,3.2000366,78.582039,9.7715464,0.0066041233,0
1979-03-10 00:00:00,47.666317,308.845,5.6090332,87.706802,5.8493443,0.015121336,0
1979-03-11 00:00:00,103.17411,293.45923,6.725061,78.704613,8.4825401,0.0059922905,0
1979-03-12 00:00:00,103.26862,274.50784,5.0818726,61.542645,6.7324471,0,0
1979-03-13 00:00:00,99.124466,275.51413,4.0560547,72.665108,4.0967946,0.0012419159,0.0095461129
1979-03-14 00:00:00,118.37794,271.51593,3.455072,68.854866,5.6915927,0.00068838415,0
1979-03-15 00:00:00,123.00325,255.72141,1.9633423,73.332687,4.6753139,0.00030559064,0
1979-03-16 00:00:00,82.854126,272.25903,1.0803162,67.89003,5.6876163,0.00051910881,0
1979-03-17 00:00:00,71.5355,276.38797,0.98824463,66.554077,7.1248741,0.00023987754,0
1979-03-18 00:00:00,96.50148,274.54803,0.9117981,68.755707,6.7624063,0.00080012461,0
1979-03-19 00:00:00,110.11224,269.07602,2.5570313,69.924164,4.2485924,0,0
1979-03-20 00:00:00,96.551178,264.92514,2.2373901,76.921562,3.8564467,0.0052373496,0
1979-03-21 00:00:00,142.21373,252.53441,1.6452271,66.220215,4.0226512,0.00057757471,0
1979-03-22 00:00:00,132.72711,253.34053,1.5043884,73.798576,2.9400187,0.0021374293,0.006483136
1979-03-23 00:00:00,150.9395,262.06415,2.9653259,59.046104,2.5679436,0,0
1979-03-24 00:00:00,16.731318,311.93188,5.4368835,87.686203,6.090003,0.024375582,0
1979-03-25 00:00:00,59.407158,308.37311,6.2219788,94.640213,5.6048474,0.0057454853,0
1979-03-26 00:00:00,75.338524,292.42004,4.0821167,80.548347,7.152812,0.0052681833,0
1979-03-27 00:00:00,91.014397,283.01672,3.9517151,81.504562,7.2352514,0.00862903,0
1979-03-28 00:00:00,131.85907,270.71158,3.4892822,75.92205,8.3833227,0.0030845962,0
1979-03-29 00:00:00,151.77132,268.24487,3.6737,64.686119,9.2199135,0.0014235579,0
1979-03-30 00:00:00,83.10936,288.56003,4.9135071,76.597702,4.7938614,0.00150684,0
1979-03-31 00:00:00,106.2867,296.06824,5.4837891,80.837128,5.9548178,0.0022631289,0
1979-04-01 00:00:00,118.55284,282.03287,4.3383728,79.651329,5.5615683,0.0034200343,0
1979-04-02 00:00:00,150.35263,264.64648,2.7136169,80.382599,4.3970041,0.0036421461,0
1979-04-03 00:00:00,167.63367,260.70163,2.6042114,70.35878,3.5948555,0.00066422565,0
1979-04-04 00:00:00,162.62317,275.51282,3.7056213,70.663521,4.0232763,0,0
1979-04-05 00:00:00,155.70763,274.38861,4.3695618,74.513046,4.0577388,0.001673006,0
