datetime,Ten_Meter_Elevation_Wind_Speed_meterPerSecond,Air_Temperature_celcius,Relative_Humidity_percent,Shortwave_Radiation_Downwelling_wattPerMeterSquared,Longwave_Radiation_Downwelling_wattPerMeterSquared,Sea_Level_Barometric_Pressure_pascal,Surface_Level_Barometric_Pressure_pascal,Precipitation_meterPerSecond,Snowfall_meterPerDay
1979-01-01 00:00:00,5.52557992935181,-13.030798339844,85.6926498413086,48.7723731994629,247.965194702148,98581.5234375,102341.78125,8.18104963400401e-08,0.136933488305658
1979-01-02 00:00:00,4.71884822845459,-23.755895996094,87.1128616333008,91.7753982543945,188.012115478516,98533.59375,102458.03125,0,0
1979-01-03 00:00:00,4.87196207046509,-23.995886230469,88.9913711547852,89.3987808227539,190.554595947266,98768.25,102705.546875,0,0
1979-01-04 00:00:00,5.1852560043335,-19.950048828125,82.4172058105469,94.8174209594727,198.738327026367,99376.6328125,103272.734375,0,0
1979-01-05 00:00:00,2.83926606178284,-22.786962890625,90.1067276000977,90.7371597290039,192.21923828125,99904.3125,103866.9921875,0,0
1979-01-06 00:00:00,4.50610971450806,-21.047094726562,88.4436111450195,96.5054550170898,192.825042724609,98794.09375,102686.546875,0,0
1979-01-07 00:00:00,2.49729943275452,-18.543112182617,90.67431640625,82.1133041381836,210.660797119141,98514,102355.078125,0,0
1979-01-08 00:00:00,3.67522025108337,-20.532080078125,88.8251037597656,94.2386093139648,196.353591918945,98536.296875,102409.0390625,0,0
1979-01-09 00:00:00,4.85959053039551,-14.663153076172,79.5522384643555,92.0048370361328,220.767852783203,98416.078125,102194.296875,0,0
1979-01-10 00:00:00,3.71047568321228,-20.872290039062,85.5485534667969,90.2260589599609,194.041351318359,99376.0703125,103287.1171875,0,0
1979-01-11 00:00:00,1.88059306144714,-24.259634399414,88.3769378662109,76.3411026000977,193.02912902832,99618.3125,103594.84375,1.21247621791554e-08,0.0209515890455805
1979-01-12 00:00:00,2.03277945518494,-15.544927978516,88.870002746582,62.4819297790527,244.974517822266,98619.96875,102419.796875,8.5417770606e-08,0.143718064762652
1979-01-13 00:00:00,4.02174615859985,-10.092718505859,95.9359588623047,17.364616394043,260.475677490234,97784.34375,101471.921875,4.22786251874641e-07,0.68113923445344
1979-01-14 00:00:00,6.8632755279541,-16.252264404297,81.0745315551758,106.46955871582,217.249572753906,97718.9765625,101497.765625,5.03188421134837e-08,0.0869509591720998
1979-01-15 00:00:00,3.58758974075317,-24.821325683594,91.1675262451172,50.5901069641113,204.033004760742,98919.65625,102875.8046875,6.85781560605392e-08,0.118503053672612
1979-01-16 00:00:00,2.2508807182312,-19.778448486328,88.7017822265625,91.9898986816406,220.35270690918,98884.9140625,102760.046875,2.41822381212842e-08,0.0417869074735791
1979-01-17 00:00:00,4.28521347045898,-11.614233398438,83.6491241455078,104.338958740234,237.318328857422,98256.3984375,101983.796875,2.72163069894304e-08,0.0440213929396123
1979-01-18 00:00:00,3.18696689605713,-15.933569335938,80.3174743652344,101.36400604248,209.019989013672,99143.296875,102970.1953125,0,0
1979-01-19 00:00:00,4.89732980728149,-9.20392456054697,89.8803863525391,17.8155269622803,256.655792236328,98321.046875,102016.5390625,2.01224582269788e-07,0.25714900251478
1979-01-20 00:00:00,1.54307305812836,-4.87381591796896,92.7887954711914,54.285530090332,269.911560058594,96783.390625,100360.6875,3.32901868205226e-09,0
1979-01-21 00:00:00,4.53836727142334,-5.380041503906,87.1876907348633,71.2314834594727,265.047149658203,96438.8515625,100010.203125,0,0
1979-01-22 00:00:00,3.58315682411194,-9.108892822266,84.687629699707,102.816802978516,221.779281616211,97190.0859375,100841.796875,0,0
1979-01-23 00:00:00,3.67328357696533,-5.931311035156,86.8174209594727,23.9922943115234,264.730712890625,96961.640625,100560.1015625,2.33665341511369e-07,0.36710155941546
1979-01-24 00:00:00,6.34589099884033,-8.85022583007799,85.2169570922852,88.3881912231445,249.795013427734,96457.9921875,100078.25,1.38928036903962e-07,0.2231953041628
1979-01-25 00:00:00,4.66638898849487,-14.622808837891,75.4605178833008,119.731803894043,204.975372314453,97609.7890625,101357.7265625,0,0
1979-01-26 00:00:00,2.17401576042175,-13.026739501953,83.0235748291016,72.393798828125,229.577987670898,98036.78125,101777.5546875,0,0
1979-01-27 00:00:00,2.4815034866333,-6.70151367187498,88.9094619750977,43.8201141357422,263.524871826172,97405.6171875,101031.3515625,1.92014213098446e-08,0.0331800560234115
1979-01-28 00:00:00,4.15765047073364,-5.075445556641,85.0177307128906,61.5236663818359,265.884582519531,97239.3125,100836.109375,0,0
1979-01-29 00:00:00,4.12908744812012,-7.50653686523395,82.6866607666016,103.200134277344,246.450881958008,98045.578125,101706.25,0,0
1979-01-30 00:00:00,2.67917561531067,-10.823980712891,88.7145156860352,69.7006530761719,238.1845703125,98234.4765625,101949.5234375,4.04693491873331e-09,0.00699310353957116
1979-01-31 00:00:00,3.79398775100708,-10.920050048828,85.9362640380859,100.099388122559,240.186737060547,98045.2265625,101754.2890625,2.76595510513289e-08,0.0477957042166963
1979-02-01 00:00:00,2.77075123786926,-14.595434570312,83.7358322143555,122.368515014648,203.817993164062,98582.796875,102366.6875,0,0
1979-02-02 00:00:00,2.19509029388428,-14.863409423828,89.5678329467773,81.8443832397461,232.461364746094,98620.6328125,102409.9296875,9.99495568976272e-09,0.01727128343191
1979-02-03 00:00:00,1.82460808753967,-15.235479736328,89.9447555541992,90.2053070068359,215.805221557617,98209.578125,101988.9609375,1.24993375720805e-08,0.0215988553245551
