time	hurs	huss	pr	prsn	ps	psl	rlds	rsds	sfcWind	tas	tasmax	tasmin	uas	vas
1979-01-01	85.6926498413086	0.00110525020863861	8.18104963400401e-05	7.92439168435521e-05	98581.5234375	102341.78125	247.965194702148	48.7723731994629	5.52557992935181	260.119201660156	263.801910400391	257.2177734375	1.52643358707428	-5.32992267608643
1979-01-02	87.1128616333008	0.000441140145994723	0	0	98533.59375	102458.03125	188.012115478516	91.7753982543945	4.71884822845459	249.394104003906	259.039947509766	243.144027709961	4.50315761566162	-1.8085128068924
1979-01-03	88.9913711547852	0.000409937143558636	0	0	98768.25	102705.546875	190.554595947266	89.3987808227539	4.87196207046509	249.154113769531	257.326690673828	245.454818725586	5.04954385757446	0.961416602134705
1979-01-04	82.4172058105469	0.000540465174708515	0	0	99376.6328125	103272.734375	198.738327026367	94.8174209594727	5.1852560043335	253.199951171875	255.435653686523	249.312728881836	5.53397560119629	-0.275856703519821
1979-01-05	90.1067276000977	0.000454341527074575	0	0	99904.3125	103866.9921875	192.21923828125	90.7371597290039	2.83926606178284	250.363037109375	255.632293701172	245.903625488281	3.18987822532654	0.230764493346214
1979-01-06	88.4436111450195	0.00055937678553164	0	0	98794.09375	102686.546875	192.825042724609	96.5054550170898	4.50610971450806	252.102905273438	262.813842773438	246.54313659668	4.1115083694458	2.85905241966248
1979-01-07	90.67431640625	0.00069470377638936	0	0	98514	102355.078125	210.660797119141	82.1133041381836	2.49729943275452	254.606887817383	260.160614013672	250.915222167969	2.33550524711609	-0.384200662374496
1979-01-08	88.8251037597656	0.000569473602809012	0	0	98536.296875	102409.0390625	196.353591918945	94.2386093139648	3.67522025108337	252.617919921875	257.961151123047	247.008590698242	3.63451051712036	-0.266527831554413
1979-01-09	79.5522384643555	0.000879973056726158	0	0	98416.078125	102194.296875	220.767852783203	92.0048370361328	4.85959053039551	258.486846923828	261.305572509766	253.267807006836	4.63217115402222	0.202454671263695
1979-01-10	85.5485534667969	0.000522400718182325	0	0	99376.0703125	103287.1171875	194.041351318359	90.2260589599609	3.71047568321228	252.277709960938	257.903625488281	248.46696472168	3.12019205093384	-2.20909905433655
1979-01-11	88.3769378662109	0.000406658335123211	1.21247621791554e-05	1.21247621791554e-05	99618.3125	103594.84375	193.02912902832	76.3411026000977	1.88059306144714	248.890365600586	258.034545898438	240.723220825195	0.770989298820496	-0.11823608726263
1979-01-12	88.870002746582	0.000924851512536407	8.5417770606e-05	8.31701763672754e-05	98619.96875	102419.796875	244.974517822266	62.4819297790527	2.03277945518494	257.605072021484	265.021514892578	253.332153320312	-0.835259079933167	1.65346026420593
1979-01-13	95.9359588623047	0.00161047338042408	0.000422786251874641	0.000394177797716111	97784.34375	101471.921875	260.475677490234	17.364616394043	4.02174615859985	263.057281494141	266.365905761719	259.882080078125	-2.28642392158508	-3.6222813129425
1979-01-14	81.0745315551758	0.000999665819108486	5.03188421134837e-05	5.03188421134837e-05	97718.9765625	101497.765625	217.249572753906	106.46955871582	6.8632755279541	256.897735595703	268.506317138672	246.589004516602	3.24251413345337	-5.72307348251343
1979-01-15	91.1675262451172	0.000380573386792094	6.85781560605392e-05	6.85781560605392e-05	98919.65625	102875.8046875	204.033004760742	50.5901069641113	3.58758974075317	248.328674316406	253.285446166992	244.712142944336	3.30109810829163	1.09885549545288
1979-01-16	88.7017822265625	0.000608643225859851	2.41822381212842e-05	2.41822381212842e-05	98884.9140625	102760.046875	220.35270690918	91.9898986816406	2.2508807182312	253.371551513672	261.459381103516	245.728729248047	-0.838629424571991	-0.428581982851028
1979-01-17	83.6491241455078	0.00121907703578472	2.72163069894304e-05	2.54753431363497e-05	98256.3984375	101983.796875	237.318328857422	104.338958740234	4.28521347045898	261.535766601562	264.858581542969	257.524536132812	2.38620853424072	0.384690493345261
1979-01-18	80.3174743652344	0.000811315083410591	0	0	99143.296875	102970.1953125	209.019989013672	101.36400604248	3.18696689605713	257.216430664062	266.806762695312	249.783325195312	0.909320533275604	-1.73452854156494
1979-01-19	89.8803863525391	0.00166479567997158	0.000201224582269788	0.000148813080159016	98321.046875	102016.5390625	256.655792236328	17.8155269622803	4.89732980728149	263.946075439453	270.466094970703	260.650909423828	-3.98823022842407	3.13106679916382
1979-01-20	92.7887954711914	0.00244380277581513	3.32901868205226e-06	0	96783.390625	100360.6875	269.911560058594	54.285530090332	1.54307305812836	268.276184082031	271.255554199219	265.905029296875	-0.0778323039412498	0.00423971796408296
1979-01-21	87.1876907348633	0.00221142102964222	0	0	96438.8515625	100010.203125	265.047149658203	71.2314834594727	4.53836727142334	267.769958496094	269.692749023438	264.436248779297	0.815348505973816	-4.36674213409424
1979-01-22	84.687629699707	0.001554130227305	0	0	97190.0859375	100841.796875	221.779281616211	102.816802978516	3.58315682411194	264.041107177734	269.698699951172	258.337982177734	2.86459398269653	-1.25025963783264
1979-01-23	86.8174209594727	0.00211485568434	0.000233665341511369	0.000212443032069132	96961.640625	100560.1015625	264.730712890625	23.9922943115234	3.67328357696533	267.218688964844	270.363891601562	263.751770019531	-1.16455781459808	3.32240056991577
1979-01-24	85.2169570922852	0.00168997445143759	0.000138928036903962	0.000129163949168287	96457.9921875	100078.25	249.795013427734	88.3881912231445	6.34589099884033	264.299774169922	271.008544921875	260.811676025391	2.19548892974854	-6.08292675018311
1979-01-25	75.4605178833008	0.000841062981635332	0	0	97609.7890625	101357.7265625	204.975372314453	119.731803894043	4.66638898849487	258.527191162109	267.629791259766	252.360076904297	3.09372520446777	-4.03690719604492
1979-01-26	83.0235748291016	0.00110310467425734	0	0	98036.78125	101777.5546875	229.577987670898	72.393798828125	2.17401576042175	260.123260498047	269.639251708984	253.62890625	0.204678699374199	-2.19547533988953
1979-01-27	88.9094619750977	0.00200493913143873	1.92014213098446e-05	1.92014213098446e-05	97405.6171875	101031.3515625	263.524871826172	43.8201141357422	2.4815034866333	266.448486328125	271.863677978516	264.274444580078	-1.17724609375	-2.31157779693604
1979-01-28	85.0177307128906	0.00218299916014075	0	0	97239.3125	100836.109375	265.884582519531	61.5236663818359	4.15765047073364	268.074554443359	269.96240234375	266.155334472656	1.17017233371735	-3.94163274765015
1979-01-29	82.6866607666016	0.00170982955023646	0	0	98045.578125	101706.25	246.450881958008	103.200134277344	4.12908744812012	265.643463134766	269.499694824219	262.297790527344	3.15543150901794	-2.88377809524536
1979-01-30	88.7145156860352	0.00136512075550854	4.04693491873331e-06	4.04693491873331e-06	98234.4765625	101949.5234375	238.1845703125	69.7006530761719	2.67917561531067	262.326019287109	266.326782226562	259.188049316406	1.7799996137619	-2.00945258140564
1979-01-31	85.9362640380859	0.0013070919085294	2.76595510513289e-05	2.76595510513289e-05	98045.2265625	101754.2890625	240.186737060547	100.099388122559	3.79398775100708	262.229949951172	265.572601318359	258.991333007812	1.57317173480988	-3.57148051261902
1979-02-01	83.7358322143555	0.000909484922885895	0	0	98582.796875	102366.6875	203.817993164062	122.368515014648	2.77075123786926	258.554565429688	263.423370361328	254.107376098633	1.91560482978821	-2.09655261039734
1979-02-02	89.5678329467773	0.000954622286371887	9.99495568976272e-06	9.99495568976272e-06	98620.6328125	102409.9296875	232.461364746094	81.8443832397461	2.19509029388428	258.286590576172	264.081207275391	255.201690673828	0.822138667106628	1.67590487003326
1979-02-03	89.9447555541992	0.000945561099797487	1.24993375720805e-05	1.24993375720805e-05	98209.578125	101988.9609375	215.805221557617	90.2053070068359	1.82460808753967	257.914520263672	263.033416748047	252.070770263672	1.72994065284729	-0.154166013002396
1979-02-04	80.7375869750977	0.000645749852992594	0	0	98198.15625	102024.2421875	192.756362915039	131.51774597168	5.77324771881104	254.768936157227	260.521423339844	250.654876708984	5.56901693344116	-1.80412542819977
1979-02-05	79.8887329101562	0.000380131707061082	0	0	98952.0859375	102886.328125	181.749389648438	123.794570922852	3.2437915802002	249.808792114258	257.149566650391	244.810287475586	2.9364607334137	-1.03588080406189
1979-02-06	74.525764465332	0.000901416875422001	6.90473734721309e-06	6.90473734721309e-06	97887.8203125	101647.125	232.91943359375	83.1870880126953	4.32198524475098	258.530487060547	269.464630126953	251.241577148438	1.53669321537018	3.97398829460144
1979-02-07	84.0586700439453	0.00101166474632919	0	0	97611.5	101354.21875	213.020050048828	131.290328979492	4.26113986968994	258.844360351562	267.408081054688	253.227142333984	3.5667576789856	-2.34058046340942
1979-02-08	80.2974853515625	0.000497822707984596	4.70960367238149e-06	4.70960367238149e-06	98438.7578125	102309.1328125	193.900512695312	131.138580322266	3.93662858009338	252.525909423828	258.149810791016	248.366821289062	0.329528719186783	-4.05574941635132
1979-02-09	80.8250122070312	0.000460401468444616	0	0	99287.0546875	103205.3828125	182.814636230469	138.129776000977	2.94475793838501	251.65055847168	259.641357421875	245.393936157227	1.66828382015228	-1.42778491973877
1979-02-10	80.5184783935547	0.00049077405128628	1.02280801002053e-05	1.02280801002053e-05	99071.4765625	102964.7734375	209.355667114258	81.0269927978516	2.79850578308105	252.651840209961	258.851440429688	248.28271484375	0.817281484603882	-1.32955491542816
1979-02-11	80.7807540893555	0.000911134586203843	8.66304708324606e-06	8.66304708324606e-06	98934.703125	102728.9375	244.011032104492	93.4074249267578	1.83240342140198	258.769378662109	265.901641845703	255.797714233398	-1.21218824386597	0.995222151279449
1979-02-12	84.7809066772461	0.00125635147560388	0.000122768629807979	0.000122768629807979	98559.6796875	102290.15625	249.542434692383	107.153144836426	3.31231331825256	262.096618652344	265.544555664062	259.683044433594	-2.12281537055969	-2.50757622718811
1979-02-13	85.3736190795898	0.00111434457357973	2.49605654971674e-05	2.49605654971674e-05	98993.9375	102764.46875	243.960632324219	103.190437316895	1.9211151599884	260.525329589844	267.054870605469	256.464813232422	-1.74821555614471	0.255656808614731
1979-02-14	83.050651550293	0.0016233732458204	0	0	98004.375	101675.8203125	250.68586730957	117.182151794434	3.3059344291687	264.815979003906	273.044921875	261.817687988281	-0.858157336711884	3.15558981895447
