Depth_meter,Area_meterSquared
0,39400000
1,36287400
2,34278000
3,32347400
4,30535000
5,28919600
6,28013400
7,27225400
8,26201000
9,25176600
10,24194600
11,22891400
12,21276000
13,20054600
14,18557400
15,17730000
16,16508600
17,15326600
18,13790000
19,11386600
20,8668000
21,5949400
22,3546000
23,1615400
24,118200
25,0
