datetime,Ten_Meter_Elevation_Wind_Speed_meterPerSecond,Air_Temperature_celsius,Relative_Humidity_percent,Shortwave_Radiation_Downwelling_wattPerMeterSquared,Longwave_Radiation_Downwelling_wattPerMeterSquared,Sea_Level_Barometric_Pressure_pascal,Surface_Level_Barometric_Pressure_pascal,Precipitation_meterPerSecond,Snowfall_meterPerDay
1979-01-01 00:00:00,2.36202025413513,-24.388708496094,78.0992965698242,11.551721572876,203.849029541016,95973.703125,102290.2421875,0,0
1979-01-02 00:00:00,2.28398180007935,-16.107580566406,84.2538299560547,11.2961225509644,219.664215087891,95881.9921875,101981.5625,0,0
1979-01-03 00:00:00,1.70405435562134,-18.532598876953,96.7726745605469,12.3869590759277,206.424865722656,96071.546875,102243.515625,0,0
1979-01-04 00:00:00,1.40745484828949,-23.921957397461,98.2299118041992,12.0295839309692,204.982086181641,96188.875,102505.8828125,0,0
1979-01-05 00:00:00,1.15872502326965,-20.381048583984,98.2271118164062,8.35144805908203,232.359680175781,96313.9140625,102548.46875,0,0
1979-01-06 00:00:00,2.19293737411499,-10.343237304688,95.534797668457,5.22349739074707,260.494445800781,95603.8828125,101552.28125,1.26378199638566e-08,0.0162350098835304
1979-01-07 00:00:00,4.81257772445679,-0.759741210937989,77.5583877563477,7.98547410964966,252.475463867188,94174.1875,99817.609375,8.80652532941895e-09,0.00896571215707808
1979-01-08 00:00:00,3.25873327255249,-5.15393676757799,80.782470703125,12.9988231658936,226.480743408203,94289.1796875,100034.875,0,0
1979-01-09 00:00:00,2.0614378452301,-10.304296875,92.2738876342773,12.8737983703613,217.212783813477,94087.7421875,99937.3046875,0,0
1979-01-10 00:00:00,1.29037749767303,-11.760076904297,94.2634658813477,8.0217113494873,248.500122070312,93528.890625,99376.96875,1.54315148392925e-08,0.0209681647829712
1979-01-11 00:00:00,2.66890549659729,-9.09332885742197,98.2346038818359,4.18320560455322,257.969757080078,93374.28125,99151.40625,1.10475069959648e-07,0.164654395077378
1979-01-12 00:00:00,2.5775933265686,-8.86102905273395,92.9870529174805,5.4724326133728,255.160491943359,94215.515625,100039.46875,6.03009284532163e-08,0.0983431285712868
1979-01-13 00:00:00,1.95587837696075,-11.084722900391,89.9407348632812,7.37439489364624,241.114959716797,94696.4765625,100601.6875,1.74085980688687e-08,0.0300820574630051
1979-01-14 00:00:00,1.74652969837189,-14.497839355469,97.9068832397461,14.528883934021,221.294647216797,96236.796875,102319.59375,0,0
1979-01-15 00:00:00,1.56550478935242,-17.470190429688,97.4825897216797,16.0848331451416,220.500091552734,97228.7421875,103447.859375,0,0
1979-01-16 00:00:00,1.09809160232544,-12.648046875,96.3254852294922,6.87191438674927,252.698181152344,97171.1640625,103268.5234375,1.43257448144141e-08,0.0207702114712448
1979-01-17 00:00:00,1.4515426158905,-9.92856445312498,98.6541061401367,13.8379592895508,239.938446044922,97363.5625,103407.3984375,2.5645913410699e-09,0.00443161383736879
1979-01-18 00:00:00,1.50926661491394,-9.74814453124998,98.6488952636719,14.6971235275269,242.905990600586,97918.140625,103992.0390625,0,0
1979-01-19 00:00:00,1.26498997211456,-8.42343749999998,97.1239776611328,10.7321443557739,257.91796875,98015.8359375,104064.3828125,0,0
1979-01-20 00:00:00,1.1707456111908,-10.762060546875,96.4762268066406,16.8912200927734,236.782150268555,97645.765625,103726.90625,0,0
1979-01-21 00:00:00,0.922028124332428,-11.818914794922,97.9865417480469,11.225438117981,246.157943725586,97769.671875,103883.8046875,0,0
1979-01-22 00:00:00,1.40149235725403,-14.259313964844,97.0998764038086,13.6672744750977,238.017028808594,96752.828125,102862.375,0,0
1979-01-23 00:00:00,1.07068181037903,-13.616796875,96.4829788208008,12.5858163833618,235.662307739258,95632.6171875,101655.9296875,0,0
1979-01-24 00:00:00,1.52202677726746,-12.992224121094,96.6521377563477,10.5182075500488,250.834335327148,94490.40625,100427.109375,1.23922800412402e-08,0.0214138599112631
1979-01-25 00:00:00,1.28887009620667,-15.860052490234,98.4874877929688,13.7118854522705,238.197494506836,93875.1015625,99841.109375,1.87591558642453e-08,0.0324158213334159
1979-01-26 00:00:00,1.3881528377533,-21.567007446289,97.1940383911133,22.2807559967041,210.427108764648,93528.7421875,99612.0078125,0,0
1979-01-27 00:00:00,1.69723749160767,-21.954473876953,92.5222015380859,26.7618465423584,204.540924072266,93517.7265625,99609.8125,0,0
1979-01-28 00:00:00,1.42052268981934,-19.025213623047,91.0758056640625,14.6870288848877,239.211700439453,94110.3359375,100168.3359375,8.9807635959005e-09,0.0155187594937161
1979-01-29 00:00:00,1.32155632972717,-16.691931152344,92.9296722412109,13.0670471191406,237.130447387695,94889.2265625,100939.875,0,0
1979-01-30 00:00:00,1.5777667760849,-16.875311279297,95.8154296875,23.5604648590088,221.94450378418,95120.828125,101190.5546875,0,0
1979-01-31 00:00:00,1.48351073265076,-18.270254516602,89.6708526611328,26.4054183959961,221.427780151367,94610.15625,100681.78125,0,0
1979-02-01 00:00:00,1.07002639770508,-13.806402587891,89.8223876953125,16.9648456573486,244.921447753906,93299.953125,99181.015625,2.69036554527702e-08,0.0464895166223869
1979-02-02 00:00:00,1.96105241775513,-13.481176757812,93.1032791137695,29.3006210327148,224.002059936523,92873.859375,98720.5703125,0,0
1979-02-03 00:00:00,2.53353714942932,-14.752722167969,86.9336318969727,12.3411874771118,231.481781005859,92362.03125,98206.2890625,3.91610519727692e-08,0.0676702978089452
1979-02-04 00:00:00,2.20496988296509,-12.292761230469,88.1715240478516,35.8231201171875,209.259918212891,93230.640625,99072.40625,0,0
