datetime,depth,temp
2010-06-18 00:00:00,4,5.555083333
2010-06-18 00:00:00,6,4.663666667
2010-06-18 00:00:00,8,4.468083333
2010-06-19 00:00:00,1,15.21363636
2010-06-19 00:00:00,2,13.06833333
2010-06-19 00:00:00,3,8.013083333
2010-06-19 00:00:00,4,5.797833333
2010-06-19 00:00:00,6,4.7575
2010-06-19 00:00:00,8,4.571833333
2010-06-20 00:00:00,1,12.87181818
2010-06-20 00:00:00,2,12.8925
2010-06-20 00:00:00,3,9.363333333
2010-06-20 00:00:00,4,5.946416667
2010-06-20 00:00:00,6,4.752083333
2010-06-20 00:00:00,8,4.562333333
2010-06-21 00:00:00,1,12.97
2010-06-21 00:00:00,2,12.05
2010-06-21 00:00:00,3,9.750833333
2010-06-21 00:00:00,4,5.76075
2010-06-21 00:00:00,6,4.669
2010-06-21 00:00:00,8,4.489666667
2010-06-22 00:00:00,1,14.54090909
2010-06-22 00:00:00,2,11.9975
2010-06-22 00:00:00,3,9.695
2010-06-22 00:00:00,4,6.111416667
2010-06-22 00:00:00,6,4.714916667
2010-06-22 00:00:00,8,4.484166667
2010-06-23 00:00:00,1,16.89727273
2010-06-23 00:00:00,2,12.03833333
2010-06-23 00:00:00,3,9.694166667
2010-06-23 00:00:00,4,5.922
2010-06-23 00:00:00,6,4.681416667
2010-06-23 00:00:00,8,4.471916667
2010-06-24 00:00:00,1,18.36909091
2010-06-24 00:00:00,2,12.12666667
2010-06-24 00:00:00,3,9.436666667
2010-06-24 00:00:00,4,6.013666667
2010-06-24 00:00:00,6,4.711
2010-06-24 00:00:00,8,4.497166667
2010-06-25 00:00:00,1,18.81545455
2010-06-25 00:00:00,2,12.25416667
2010-06-25 00:00:00,3,9.465833333
2010-06-25 00:00:00,4,6.0205
2010-06-25 00:00:00,6,4.743083333
2010-06-25 00:00:00,8,4.53775
2010-06-26 00:00:00,1,18.81
2010-06-26 00:00:00,2,12.58583333
2010-06-26 00:00:00,3,9.369166667
2010-06-26 00:00:00,4,6.139583333
2010-06-26 00:00:00,6,4.752916667
2010-06-26 00:00:00,8,4.529833333
2010-06-27 00:00:00,1,18.29909091
2010-06-27 00:00:00,2,12.7625
2010-06-27 00:00:00,3,9.34
2010-06-27 00:00:00,4,6.061833333
2010-06-27 00:00:00,6,4.6935
2010-06-27 00:00:00,8,4.482333333
2010-06-28 00:00:00,1,18.54272727
2010-06-28 00:00:00,2,13.1275
2010-06-28 00:00:00,3,9.341666667
2010-06-28 00:00:00,4,6.0865
2010-06-28 00:00:00,6,4.711916667
2010-06-28 00:00:00,8,4.509916667
2010-06-29 00:00:00,1,19.58818182
2010-06-29 00:00:00,2,13.3375
2010-06-29 00:00:00,3,9.284166667
2010-06-29 00:00:00,4,6.078833333
2010-06-29 00:00:00,6,4.714916667
2010-06-29 00:00:00,8,4.529333333
2010-06-30 00:00:00,1,19.80636364
2010-06-30 00:00:00,2,13.73333333
2010-06-30 00:00:00,3,9.38
2010-06-30 00:00:00,4,6.32225
2010-06-30 00:00:00,6,4.781916667
2010-06-30 00:00:00,8,4.56025
2010-07-01 00:00:00,1,19.16909091
2010-07-01 00:00:00,2,14.0225
2010-07-01 00:00:00,3,9.311666667
2010-07-01 00:00:00,4,6.2775
2010-07-01 00:00:00,6,4.815916667
2010-07-01 00:00:00,8,4.570833333
2010-07-02 00:00:00,1,18.56090909
2010-07-02 00:00:00,2,14.17916667
2010-07-02 00:00:00,3,9.2475
2010-07-02 00:00:00,4,6.321916667
2010-07-02 00:00:00,6,4.734
2010-07-02 00:00:00,8,4.497916667
2010-07-03 00:00:00,1,19.79818182
2010-07-03 00:00:00,2,14.7425
2010-07-03 00:00:00,3,9.068333333
2010-07-03 00:00:00,4,6.317916667
2010-07-03 00:00:00,6,4.788416667
2010-07-03 00:00:00,8,4.55325
2010-07-04 00:00:00,1,19.74727273
2010-07-04 00:00:00,2,14.46666667
2010-07-04 00:00:00,3,9.064166667
2010-07-04 00:00:00,4,6.385916667
2010-07-04 00:00:00,6,4.79725
2010-07-04 00:00:00,8,4.560833333
2010-07-05 00:00:00,1,20.01545455
2010-07-05 00:00:00,2,15.19583333
2010-07-05 00:00:00,3,9.29
2010-07-05 00:00:00,4,6.329583333
2010-07-05 00:00:00,6,4.7895
2010-07-05 00:00:00,8,4.550166667
2010-07-06 00:00:00,1,19.80818182
2010-07-06 00:00:00,2,15.99166667
2010-07-06 00:00:00,3,9.105833333
2010-07-06 00:00:00,4,6.356083333
2010-07-06 00:00:00,6,4.804
2010-07-06 00:00:00,8,4.5385
2010-07-07 00:00:00,1,19.77818182
2010-07-07 00:00:00,2,16.605
2010-07-07 00:00:00,3,9.27
2010-07-07 00:00:00,4,6.3255
2010-07-07 00:00:00,6,4.767583333
2010-07-07 00:00:00,8,4.529833333
2010-07-08 00:00:00,1,18.79181818
2010-07-08 00:00:00,2,16.78166667
2010-07-08 00:00:00,3,9.2725
2010-07-08 00:00:00,4,6.498
2010-07-08 00:00:00,6,4.870166667
2010-07-08 00:00:00,8,4.600416667
2010-07-09 00:00:00,1,17.92545455
2010-07-09 00:00:00,2,16.39083333
2010-07-09 00:00:00,3,9.395833333
2010-07-09 00:00:00,4,6.505083333
2010-07-09 00:00:00,6,4.8645
2010-07-09 00:00:00,8,4.62375
2010-07-10 00:00:00,1,17.72454545
2010-07-10 00:00:00,2,16.55333333
2010-07-10 00:00:00,3,9.630833333
2010-07-10 00:00:00,4,6.450083333
2010-07-10 00:00:00,6,4.798083333
2010-07-10 00:00:00,8,4.549
2010-07-11 00:00:00,1,18.51
2010-07-11 00:00:00,2,16.28333333
2010-07-11 00:00:00,3,9.734166667
2010-07-11 00:00:00,4,6.530083333
2010-07-11 00:00:00,6,4.80475
2010-07-11 00:00:00,8,4.550583333
2010-07-12 00:00:00,1,18.74909091
2010-07-12 00:00:00,2,16.25083333
2010-07-12 00:00:00,3,9.9225
2010-07-12 00:00:00,4,6.634916667
2010-07-12 00:00:00,6,4.93975
2010-07-12 00:00:00,8,4.642416667
2010-07-13 00:00:00,1,18.91090909
2010-07-13 00:00:00,2,16.11833333
2010-07-13 00:00:00,3,9.8525
2010-07-13 00:00:00,4,6.421
2010-07-13 00:00:00,6,4.819166667
2010-07-13 00:00:00,8,4.56925
2010-07-14 00:00:00,1,19.55363636
2010-07-14 00:00:00,2,16.39666667
2010-07-14 00:00:00,3,10.34
2010-07-14 00:00:00,4,6.673833333
2010-07-14 00:00:00,6,4.978666667
2010-07-14 00:00:00,8,4.655083333
2010-07-15 00:00:00,1,19.05090909
2010-07-15 00:00:00,2,17.02166667
2010-07-15 00:00:00,3,10.185
2010-07-15 00:00:00,4,6.69725
2010-07-15 00:00:00,6,4.923583333
2010-07-15 00:00:00,8,4.602916667
2010-07-16 00:00:00,1,18.83272727
2010-07-16 00:00:00,2,16.97166667
2010-07-16 00:00:00,3,10.4325
2010-07-16 00:00:00,4,6.858083333
2010-07-16 00:00:00,6,5.01125
2010-07-16 00:00:00,8,4.6685
2010-07-17 00:00:00,1,17.72454545
2010-07-17 00:00:00,2,17.01333333
2010-07-17 00:00:00,3,10.8225
2010-07-17 00:00:00,4,6.89975
2010-07-17 00:00:00,6,4.997833333
2010-07-17 00:00:00,8,4.669416667
2010-07-18 00:00:00,1,18.02818182
2010-07-18 00:00:00,2,17.09666667
2010-07-18 00:00:00,3,11.16416667
2010-07-18 00:00:00,4,6.966333333
2010-07-18 00:00:00,6,4.96875
2010-07-18 00:00:00,8,4.635333333
2010-07-19 00:00:00,1,18.48545455
2010-07-19 00:00:00,2,17.14083333
2010-07-19 00:00:00,3,11.465
2010-07-19 00:00:00,4,7.15225
2010-07-19 00:00:00,6,5.004166667
2010-07-19 00:00:00,8,4.643833333
2010-07-20 00:00:00,1,17.83818182
2010-07-20 00:00:00,2,17.0875
2010-07-20 00:00:00,3,11.63416667
2010-07-20 00:00:00,4,7.00175
2010-07-20 00:00:00,6,5.044333333
2010-07-20 00:00:00,8,4.695916667
2010-07-21 00:00:00,1,17.07818182
2010-07-21 00:00:00,2,16.68583333
2010-07-21 00:00:00,3,11.45833333
2010-07-21 00:00:00,4,7.235083333
2010-07-21 00:00:00,6,5.113
2010-07-21 00:00:00,8,4.732
2010-07-22 00:00:00,1,16.76363636
2010-07-22 00:00:00,2,16.34
2010-07-22 00:00:00,3,11.80833333
2010-07-22 00:00:00,4,7.227166667
2010-07-22 00:00:00,6,5.051416667
2010-07-22 00:00:00,8,4.699666667
2010-07-23 00:00:00,1,17.50727273
2010-07-23 00:00:00,2,17.02916667
2010-07-23 00:00:00,3,11.935
2010-07-23 00:00:00,4,7.139583333
2010-07-23 00:00:00,6,5.052916667
2010-07-23 00:00:00,8,4.652333333
2010-07-24 00:00:00,1,17.26636364
2010-07-24 00:00:00,2,16.37083333
2010-07-24 00:00:00,3,12.01833333
2010-07-24 00:00:00,4,7.16725
2010-07-24 00:00:00,6,5.017916667
2010-07-24 00:00:00,8,4.666666667
2010-07-25 00:00:00,1,17.29636364
2010-07-25 00:00:00,2,16.21583333
2010-07-25 00:00:00,3,12.10083333
2010-07-25 00:00:00,4,7.18625
2010-07-25 00:00:00,6,5.086666667
